O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value
11-1011.01	1.B.1.a	Realistic	OI	2
11-1011.01	1.B.1.b	Investigative	OI	3
11-1011.01	1.B.1.c	Artistic	OI	2.33
11-1011.01	1.B.1.d	Social	OI	5
11-1011.01	1.B.1.e	Enterprising	OI	6.66
11-1011.01	1.B.1.f	Conventional	OI	5.66
11-1011.01	1.B.1.g	First Interest High-Point	IH	5
11-1011.01	1.B.1.h	Second Interest High-Point	IH	6
11-1011.01	1.B.1.i	Third Interest High-Point	IH	4
11-1011.02	1.B.1.a	Realistic	OI	2.66
11-1011.02	1.B.1.b	Investigative	OI	3.33
11-1011.02	1.B.1.c	Artistic	OI	2.33
11-1011.02	1.B.1.d	Social	OI	4.33
11-1011.02	1.B.1.e	Enterprising	OI	7
11-1011.02	1.B.1.f	Conventional	OI	5.66
11-1011.02	1.B.1.g	First Interest High-Point	IH	5
11-1011.02	1.B.1.h	Second Interest High-Point	IH	6
11-1011.02	1.B.1.i	Third Interest High-Point	IH	4
11-2011.00	1.B.1.a	Realistic	OI	2
11-2011.00	1.B.1.b	Investigative	OI	3.33
11-2011.00	1.B.1.c	Artistic	OI	6.33
11-2011.00	1.B.1.d	Social	OI	4
11-2011.00	1.B.1.e	Enterprising	OI	5.33
11-2011.00	1.B.1.f	Conventional	OI	3.66
11-2011.00	1.B.1.g	First Interest High-Point	IH	3
11-2011.00	1.B.1.h	Second Interest High-Point	IH	5
11-2011.00	1.B.1.i	Third Interest High-Point	IH	0
11-2021.00	1.B.1.a	Realistic	OI	2
11-2021.00	1.B.1.b	Investigative	OI	2
11-2021.00	1.B.1.c	Artistic	OI	3
11-2021.00	1.B.1.d	Social	OI	3.33
11-2021.00	1.B.1.e	Enterprising	OI	6.33
11-2021.00	1.B.1.f	Conventional	OI	5.66
11-2021.00	1.B.1.g	First Interest High-Point	IH	5
11-2021.00	1.B.1.h	Second Interest High-Point	IH	6
11-2021.00	1.B.1.i	Third Interest High-Point	IH	0
11-2022.00	1.B.1.a	Realistic	OI	1.66
11-2022.00	1.B.1.b	Investigative	OI	2
11-2022.00	1.B.1.c	Artistic	OI	2.33
11-2022.00	1.B.1.d	Social	OI	3.66
11-2022.00	1.B.1.e	Enterprising	OI	7
11-2022.00	1.B.1.f	Conventional	OI	5.66
11-2022.00	1.B.1.g	First Interest High-Point	IH	5
11-2022.00	1.B.1.h	Second Interest High-Point	IH	6
11-2022.00	1.B.1.i	Third Interest High-Point	IH	0
11-3011.00	1.B.1.a	Realistic	OI	2
11-3011.00	1.B.1.b	Investigative	OI	2.66
11-3011.00	1.B.1.c	Artistic	OI	2
11-3011.00	1.B.1.d	Social	OI	4
11-3011.00	1.B.1.e	Enterprising	OI	6.33
11-3011.00	1.B.1.f	Conventional	OI	6
11-3011.00	1.B.1.g	First Interest High-Point	IH	5
11-3011.00	1.B.1.h	Second Interest High-Point	IH	6
11-3011.00	1.B.1.i	Third Interest High-Point	IH	4
11-3021.00	1.B.1.a	Realistic	OI	4.33
11-3021.00	1.B.1.b	Investigative	OI	5
11-3021.00	1.B.1.c	Artistic	OI	2
