O*NET-SOC CODE	TITLE	TASKS
11-1011.01	Government Service Executives	Directs organization charged with administering and monitoring regulated activities to interpret and clarify laws and ensure compliance with laws.
11-1011.01	Government Service Executives	Administers, interprets, and explains policies, rules, regulations, and laws to organizations and individuals under authority of commission or applicable legislation.
11-1011.01	Government Service Executives	Develops, plans, organizes, and administers policies and procedures for organization to ensure administrative and operational objectives are met.
11-1011.01	Government Service Executives	Directs and coordinates activities of workers in public organization to ensure continuing operations, maximize returns on investments, and increase productivity.
11-1011.01	Government Service Executives	Negotiates contracts and agreements with federal and state agencies and other organizations and prepares budget for funding and implementation of programs.
11-1011.01	Government Service Executives	Implements corrective action plan to solve problems.
11-1011.01	Government Service Executives	Reviews and analyzes legislation, laws, and public policy and recommends changes to promote and support interests of general population, as well as special groups.
11-1011.01	Government Service Executives	Develops, directs, and coordinates testing, hiring, training, and evaluation of staff personnel.
11-1011.01	Government Service Executives	Establishes and maintains comprehensive and current record keeping system of activities and operational procedures in business office.
11-1011.01	Government Service Executives	Testifies in court, before control or review board, or at legislature.
11-1011.01	Government Service Executives	Participates in activities to promote business and expand services, and provides technical assistance in conducting of conferences, seminars, and workshops.
11-1011.01	Government Service Executives	Delivers speeches, writes articles, and presents information for organization at meetings or conventions to promote services, exchange ideas, and accomplish objectives.
11-1011.01	Government Service Executives	Plans, promotes, organizes, and coordinates public community service program and maintains cooperative working relationships among public and agency participants.
11-1011.01	Government Service Executives	Conducts or directs investigations or hearings to resolve complaints and violations of laws.
11-1011.01	Government Service Executives	Prepares, reviews, and submits reports concerning activities, expenses, budget, government statutes and rulings, and other items affecting business or program services.
11-1011.01	Government Service Executives	Directs, coordinates, and conducts activities between United States Government and foreign entities to provide information to promote international interest and harmony.
11-1011.01	Government Service Executives	Evaluates findings of investigations, surveys, and studies to formulate policies and techniques and recommend improvements for personnel actions, programs, or business services.
11-1011.01	Government Service Executives	Consults with staff and others in government, business, and private organizations to discuss issues, coordinate activities, and resolve problems.
11-1011.01	Government Service Executives	Directs and conducts studies and research, and prepares reports and other publications relating to operational trends and program objectives and accomplishments.
11-1011.01	Government Service Executives	Prepares budget and directs and monitors expenditures of department funds.
11-1011.02	Private Sector Executives	Directs, plans, and implements policies and objectives of organization or business in accordance with charter and board of directors.
11-1011.02	Private Sector Executives	Directs activities of organization to plan procedures, establish responsibilities, and coordinate functions among departments and sites.
11-1011.02	Private Sector Executives	Analyzes operations to evaluate performance of company and staff and to determine areas of cost reduction and program improvement.
11-1011.02	Private Sector Executives	Confers with board members, organization officials, and staff members to establish policies and formulate plans.
11-1011.02	Private Sector Executives	Reviews financial statements and sales and activity reports to ensure that organization's objectives are achieved.
11-1011.02	Private Sector Executives	Assigns or delegates responsibilities to subordinates.
11-1011.02	Private Sector Executives	Directs and coordinates activities of business involved with buying and selling investment products and financial services.
11-1011.02	Private Sector Executives	Establishes internal control procedures.
11-1011.02	Private Sector Executives	Presides over or serves on board of directors, management committees, or other governing boards.
11-1011.02	Private Sector Executives	Directs inservice training of staff.
11-1011.02	Private Sector Executives	Administers program for selection of sites, construction of buildings, and provision of equipment and supplies.
11-1011.02	Private Sector Executives	Screens, selects, hires, transfers, and discharges employees.
11-1011.02	Private Sector Executives	Promotes objectives of institution or business before associations, public, government agencies, or community groups.
11-1011.02	Private Sector Executives	Negotiates or approves contracts with suppliers and distributors, and with maintenance, janitorial, and security providers.
11-1011.02	Private Sector Executives	Prepares reports and budgets.
11-1011.02	Private Sector Executives	Directs non-merchandising departments of business, such as advertising, purchasing, credit, and accounting.
11-1011.02	Private Sector Executives	Directs and coordinates activities of business or department concerned with production, pricing, sales, and/or distribution of products.
11-1011.02	Private Sector Executives	Directs and coordinates organization's financial and budget activities to fund operations, maximize investments, and increase efficiency.
11-2011.00	Advertising and Promotions Managers	Directs activities of workers engaged in developing and producing advertisements.
11-2011.00	Advertising and Promotions Managers	Plans and executes advertising policies of organization.
11-2011.00	Advertising and Promotions Managers	Plans and prepares advertising and promotional material.
11-2011.00	Advertising and Promotions Managers	Coordinates activities of departments, such as sales, graphic arts, media, finance, and research.
11-2011.00	Advertising and Promotions Managers	Formulates plans to extend business with established accounts and transacts business as agent for advertising accounts.
11-2011.00	Advertising and Promotions Managers	Confers with department heads and/or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.
11-2011.00	Advertising and Promotions Managers	Confers with clients to provide marketing or technical advice.
11-2011.00	Advertising and Promotions Managers	Inspects layouts and advertising copy and edits scripts, audio and video tapes, and other promotional material for adherence to specifications.
11-2011.00	Advertising and Promotions Managers	Reads trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.
11-2011.00	Advertising and Promotions Managers	Inspects premises of assigned stores for adequate security and compliance with safety codes and ordinances.
11-2011.00	Advertising and Promotions Managers	Directs conversion of products from USA to foreign standards.
11-2011.00	Advertising and Promotions Managers	Adjusts broadcasting schedules due to program cancellation.
11-2011.00	Advertising and Promotions Managers	Contacts organizations to explain services and facilities offered or to secure props, audio visual materials, and sound effects.
11-2011.00	Advertising and Promotions Managers	Directs product research and development.
11-2011.00	Advertising and Promotions Managers	Represents company at trade association meetings to promote products.
11-2011.00	Advertising and Promotions Managers	Consults publications to learn about conventions and social functions and organizes prospect files for promotional purposes.
11-2011.00	Advertising and Promotions Managers	Supervises and trains service representatives.
11-2011.00	Advertising and Promotions Managers	Monitors and analyzes sales promotion results to determine cost effectiveness of promotion campaign.
11-2021.00	Marketing Managers	Develops marketing strategy, based on knowledge of establishment policy, nature or market, and cost and markup factors.
11-2021.00	Marketing Managers	Coordinates and publicizes marketing activities to promote products and services.
11-2021.00	Marketing Managers	Conducts economic and commercial surveys to identify potential markets for products and services.
11-2021.00	Marketing Managers	Analyzes business developments and consults trade journals to monitor market trends and determine market opportunities for products.
11-2021.00	Marketing Managers	Advises business and other groups on local, national, and international factors affecting the buying and selling of products and services.
11-2021.00	Marketing Managers	Selects products and accessories to be displayed at trade or special production shows.
11-2021.00	Marketing Managers	Compiles list describing product or service offerings and sets prices or fees.
11-2021.00	Marketing Managers	Prepares report of marketing activities.
11-2021.00	Marketing Managers	Confers with legal staff to resolve problems, such as copyright infringement and royalty sharing with outside producers and distributors.
11-2021.00	Marketing Managers	Consults with buying personnel to gain advice regarding the types of products or services that are expected to be in demand.
11-2021.00	Marketing Managers	Coordinates promotional activities and shows to market products and services.
11-2022.00	Sales Managers	Directs and coordinates activities involving sales of manufactured goods, service outlets, technical services, operating retail chain, and advertising services for publication.
11-2022.00	Sales Managers	Plans and directs staffing, training, and performance evaluations to develop and control sales and service programs.
11-2022.00	Sales Managers	Directs, coordinates, and reviews activities in sales and service accounting and record keeping, and receiving and shipping operations.
