O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value
11-1011.01	4.C.1.a.4	Contact With Others	CX	3.998333
11-1011.01	4.C.1.b.1.f	Deal With External Customers	CX	3.666667
11-1011.01	4.C.1.b.1.g	Coordinate or Lead Others	CX	3.5
11-1011.01	4.C.1.c.1	Responsible for Others' Health and Safety	CX	1.75
11-1011.01	4.C.1.c.2	Responsibility for Outcomes and Results	CX	3.583333
11-1011.01	4.C.1.d.1	Frequency of Conflict Situations	CX	3.333333
11-1011.01	4.C.1.d.2	Deal With Unpleasant or Angry People	CX	2.5
11-1011.01	4.C.1.d.3	Deal With Physically Aggressive People	CX	1.166667
11-1011.01	4.C.2.a.1.a	Indoors, Environmentally Controlled	CX	4.5
11-1011.01	4.C.2.a.1.c	Outdoors, Exposed to Weather	CX	2.166667
11-1011.01	4.C.2.b.1.a	Sounds, Noise Levels Are Distracting or Uncomfortable	CX	1.666667
11-1011.01	4.C.2.b.1.b	Very Hot or Cold Temperatures	CX	1.166667
11-1011.01	4.C.2.b.1.c	Extremely Bright or Inadequate Lighting	CX	1.5
11-1011.01	4.C.2.b.1.d	Exposed to Contaminants	CX	1.666667
11-1011.01	4.C.2.b.1.e	Cramped Work Space, Awkward Positions	CX	1
11-1011.01	4.C.2.b.1.f	Exposed to Whole Body Vibration	CX	1
11-1011.01	4.C.2.c.1.a	Exposed to Radiation	CX	1
11-1011.01	4.C.2.c.1.b	Exposed to Disease or Infections	CX	1
11-1011.01	4.C.2.c.1.c	Exposed to High Places	CX	1
11-1011.01	4.C.2.c.1.d	Exposed to Hazardous Conditions	CX	1.166667
11-1011.01	4.C.2.c.1.e	Exposed to Hazardous Equipment 	CX	1
11-1011.01	4.C.2.c.1.f	Exposed to Minor Burns, Cuts, Bites, or Stings	CX	1.5
11-1011.01	4.C.2.d.1.a	Spend Time Sitting	CX	4
11-1011.01	4.C.2.d.1.b	Spend Time Standing	CX	3.166667
11-1011.01	4.C.2.d.1.c	Spend Time Climbing Ladders, Scaffolds, or Poles   	CX	1
