O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value
11-1011.01	1.B.2.a	Achievement-Mean Extent	EN	4
11-1011.01	1.B.2.b	Working Conditions-Mean Extent	EN	3.87
11-1011.01	1.B.2.c	Recognition-Mean Extent	EN	3.78
11-1011.01	1.B.2.d	Relationships-Mean Extent	EN	3
11-1011.01	1.B.2.e	Support-Mean Extent	EN	2.95
11-1011.01	1.B.2.f	Independence-Mean Extent	EN	4
11-1011.01	1.B.2.a.1	Ability Utilization	EN	4.12
11-1011.01	1.B.2.a.2	Achievement	EN	3.87
11-1011.01	1.B.2.b.1	Activity	EN	4.12
11-1011.01	1.B.2.c.1	Advancement	EN	3.12
11-1011.01	1.B.2.c.3	Authority	EN	4.5
11-1011.01	1.B.2.e.1	Company Policies and Practices	EN	3.87
11-1011.01	1.B.2.b.4	Compensation	EN	4
11-1011.01	1.B.2.d.1	Co-workers	EN	3.37
11-1011.01	1.B.2.f.1	Creativity	EN	3.75
11-1011.01	1.B.2.b.2	Independence	EN	2.87
11-1011.01	1.B.2.d.3	Moral Values	EN	3
11-1011.01	1.B.2.c.2	Recognition	EN	3.5
11-1011.01	1.B.2.f.2	Responsibility	EN	4.12
11-1011.01	1.B.2.b.5	Security	EN	4
11-1011.01	1.B.2.d.2	Social Service	EN	2.62
11-1011.01	1.B.2.c.4	Social Status	EN	4
11-1011.01	1.B.2.e.2	Supervision, Human Relations	EN	2.87
11-1011.01	1.B.2.e.3	Supervision, Technical	EN	2.12
11-1011.01	1.B.2.b.3	Variety	EN	4
11-1011.01	1.B.2.b.6	Working Conditions	EN	4.25
11-1011.01	1.B.2.f.3	Autonomy	EN	4.12
11-1011.02	1.B.2.a	Achievement-Mean Extent	EN	4.25
11-1011.02	1.B.2.b	Working Conditions-Mean Extent	EN	4.12
11-1011.02	1.B.2.c	Recognition-Mean Extent	EN	3.96
11-1011.02	1.B.2.d	Relationships-Mean Extent	EN	2.91
11-1011.02	1.B.2.e	Support-Mean Extent	EN	2.87
11-1011.02	1.B.2.f	Independence-Mean Extent	EN	4.41
11-1011.02	1.B.2.a.1	Ability Utilization	EN	4.25
11-1011.02	1.B.2.a.2	Achievement	EN	4.25
11-1011.02	1.B.2.b.1	Activity	EN	4.5
11-1011.02	1.B.2.c.1	Advancement	EN	2.75
11-1011.02	1.B.2.c.3	Authority	EN	4.75
11-1011.02	1.B.2.e.1	Company Policies and Practices	EN	4.12
11-1011.02	1.B.2.b.4	Compensation	EN	4.5
11-1011.02	1.B.2.d.1	Co-workers	EN	3.5
11-1011.02	1.B.2.f.1	Creativity	EN	4.12
11-1011.02	1.B.2.b.2	Independence	EN	3.12
11-1011.02	1.B.2.d.3	Moral Values	EN	2.75
11-1011.02	1.B.2.c.2	Recognition	EN	3.87
11-1011.02	1.B.2.f.2	Responsibility	EN	4.5
11-1011.02	1.B.2.b.5	Security	EN	4
11-1011.02	1.B.2.d.2	Social Service	EN	2.5
11-1011.02	1.B.2.c.4	Social Status	EN	4.5
11-1011.02	1.B.2.e.2	Supervision, Human Relations	EN	2.5
11-1011.02	1.B.2.e.3	Supervision, Technical	EN	2
11-1011.02	1.B.2.b.3	Variety	EN	4
11-1011.02	1.B.2.b.6	Working Conditions	EN	4.62
11-1011.02	1.B.2.f.3	Autonomy	EN	4.62
11-2011.00	1.B.2.a	Achievement-Mean Extent	EN	4
11-2011.00	1.B.2.b	Working Conditions-Mean Extent	EN	3.54
11-2011.00	1.B.2.c	Recognition-Mean Extent	EN	3.5
11-2011.00	1.B.2.d	Relationships-Mean Extent	EN	2.79
11-2011.00	1.B.2.e	Support-Mean Extent	EN	3
11-2011.00	1.B.2.f	Independence-Mean Extent	EN	3.79
11-2011.00	1.B.2.a.1	Ability Utilization	EN	4
11-2011.00	1.B.2.a.2	Achievement	EN	4
11-2011.00	1.B.2.b.1	Activity	EN	3.75
11-2011.00	1.B.2.c.1	Advancement	EN	3.25
11-2011.00	1.B.2.c.3	Authority	EN	4
11-2011.00	1.B.2.e.1	Company Policies and Practices	EN	3.75
11-2011.00	1.B.2.b.4	Compensation	EN	3.87
11-2011.00	1.B.2.d.1	Co-workers	EN	3.5
11-2011.00	1.B.2.f.1	Creativity	EN	4.25
11-2011.00	1.B.2.b.2	Independence	EN	2.37
11-2011.00	1.B.2.d.3	Moral Values	EN	2.87
11-2011.00	1.B.2.c.2	Recognition	EN	3.37
11-2011.00	1.B.2.f.2	Responsibility	EN	3.37
11-2011.00	1.B.2.b.5	Security	EN	3.37
11-2011.00	1.B.2.d.2	Social Service	EN	2
11-2011.00	1.B.2.c.4	Social Status	EN	3.37
11-2011.00	1.B.2.e.2	Supervision, Human Relations	EN	3
11-2011.00	1.B.2.e.3	Supervision, Technical	EN	2.25
11-2011.00	1.B.2.b.3	Variety	EN	3.5
11-2011.00	1.B.2.b.6	Working Conditions	EN	4.37
11-2011.00	1.B.2.f.3	Autonomy	EN	3.75
11-2021.00	1.B.2.a	Achievement-Mean Extent	EN	4
11-2021.00	1.B.2.b	Working Conditions-Mean Extent	EN	3.52
11-2021.00	1.B.2.c	Recognition-Mean Extent	EN	3.53
11-2021.00	1.B.2.d	Relationships-Mean Extent	EN	3.2
11-2021.00	1.B.2.e	Support-Mean Extent	EN	3.04
11-2021.00	1.B.2.f	Independence-Mean Extent	EN	3.87
11-2021.00	1.B.2.a.1	Ability Utilization	EN	4.12
11-2021.00	1.B.2.a.2	Achievement	EN	3.87
11-2021.00	1.B.2.b.1	Activity	EN	3.75
11-2021.00	1.B.2.c.1	Advancement	EN	3.25
11-2021.00	1.B.2.c.3	Authority	EN	3.62
11-2021.00	1.B.2.e.1	Company Policies and Practices	EN	3.62
11-2021.00	1.B.2.b.4	Compensation	EN	3.75
11-2021.00	1.B.2.d.1	Co-workers	EN	3.75
11-2021.00	1.B.2.f.1	Creativity	EN	4.12
11-2021.00	1.B.2.b.2	Independence	EN	2.25
11-2021.00	1.B.2.d.3	Moral Values	EN	3.25
11-2021.00	1.B.2.c.2	Recognition	EN	3.75
11-2021.00	1.B.2.f.2	Responsibility	EN	3.5
11-2021.00	1.B.2.b.5	Security	EN	3.37
11-2021.00	1.B.2.d.2	Social Service	EN	2.62
11-2021.00	1.B.2.c.4	Social Status	EN	3.5
11-2021.00	1.B.2.e.2	Supervision, Human Relations	EN	3.25
11-2021.00	1.B.2.e.3	Supervision, Technical	EN	2.25
11-2021.00	1.B.2.b.3	Variety	EN	3.62
11-2021.00	1.B.2.b.6	Working Conditions	EN	4.37
11-2021.00	1.B.2.f.3	Autonomy	EN	4
11-2022.00	1.B.2.a	Achievement-Mean Extent	EN	3.43
11-2022.00	1.B.2.b	Working Conditions-Mean Extent	EN	3.52
11-2022.00	1.B.2.c	Recognition-Mean Extent	EN	3.62
11-2022.00	1.B.2.d	Relationships-Mean Extent	EN	3.2
11-2022.00	1.B.2.e	Support-Mean Extent	EN	3.08
11-2022.00	1.B.2.f	Independence-Mean Extent	EN	3.7
11-2022.00	1.B.2.a.1	Ability Utilization	EN	3.5
11-2022.00	1.B.2.a.2	Achievement	EN	3.37
11-2022.00	1.B.2.b.1	Activity	EN	4
11-2022.00	1.B.2.c.1	Advancement	EN	3.62
11-2022.00	1.B.2.c.3	Authority	EN	4.12
11-2022.00	1.B.2.e.1	Company Policies and Practices	EN	3.62
11-2022.00	1.B.2.b.4	Compensation	EN	4.12
11-2022.00	1.B.2.d.1	Co-workers	EN	3.62
11-2022.00	1.B.2.f.1	Creativity	EN	3.75
11-2022.00	1.B.2.b.2	Independence	EN	2.37
11-2022.00	1.B.2.d.3	Moral Values	EN	3.25
11-2022.00	1.B.2.c.2	Recognition	EN	3.5
11-2022.00	1.B.2.f.2	Responsibility	EN	3.5
11-2022.00	1.B.2.b.5	Security	EN	3.5
