O*NET-SOC Code,Task,Category,Original Task ID,Original Task,Write-in Total,Date,Source
"11-9033.00","Write grants to procure external funding, and supervise grant-funded projects.","New",,,24,"07/2005","Incumbent"
"11-9061.00","Remove deceased remains from place of death.","New",,,6,"06/2008","Incumbent"
"11-9071.00","Market and promote the casino in order to bring in business.","New",,,6,"12/2005","Incumbent"
"11-9081.00","Collect payments and record data pertaining to funds and expenditures to monitor the revenue activity of the hotel or facility.","Revision",1110,"Collect payments, and record data pertaining to funds and expenditures.",5,"07/2004","Incumbent"
"11-9131.00","Monitor employees' work schedules and attendance for payroll purposes.","New",,,9,"07/2005","Incumbent"
"11-9151.00","Implement and evaluate staff, volunteer, and community training programs.","Revision",1140,"Implement and evaluate staff training programs.",5,"07/2004","Incumbent"
"11-9151.00","Provide direct service and support to individuals or clients, such as handling a referral for child advocacy issues, conducting a needs evaluation, and resolving complaints.","New",,,10,"07/2004","Incumbent"
"13-1011.00","Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships and endorsement deals.","New",,,9,"06/2007","Incumbent"
"13-1031.02","Interview or correspond with claimant and witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.","Revision",1161,"Interview or correspond with claimant and witnesses, consult police and hospital records, and inspect property damage to determine extent of liability.",10,"07/2004","Incumbent"
"13-1031.02","Investigate and assess damage to property and create or review property damage estimates.","Revision",1162,"Investigate and assess damage to property.",7,"07/2004","Incumbent"
"13-1031.02","Review police reports, medical treatment records, medical bills, or physical property damage to determine the extent of liability.","Revision",1161,"Interview or correspond with claimant and witnesses, consult police and hospital records, and inspect property damage to determine extent of liability.",10,"07/2004","Incumbent"
"13-1041.02","Collect money and fees for licenses.","New",,,6,"12/2006","Incumbent"
"13-1041.03","Interview persons involved in equal opportunity complaints to verify case information.","Revision",10868,"Meet with persons involved in equal opportunity complaints in order to verify case information, and to arbitrate and settle disputes.",5,"12/2006","Incumbent"
"13-1041.03","Meet with persons involved in equal opportunity complaints to arbitrate and settle disputes.","Revision",10868,"Meet with persons involved in equal opportunity complaints in order to verify case information, and to arbitrate and settle disputes.",5,"12/2006","Incumbent"
"13-1041.03","Prepare reports related to investigations of equal opportunity complaints.","New",,,7,"12/2006","Incumbent"
"13-1041.04","Inspect government property, such as construction sites and public housing, to ensure compliance with contract specifications and legal requirements.","New",,,6,"06/2007","Incumbent"
"13-1051.00","Collect historical cost data to estimate costs for current or future products.","New",,,5,"06/2008","Occupational Expert"
"13-1081.00","Perform managerial duties such as hiring and training employees, and overseeing facility needs/requirements.","New",,,10,"06/2006","Incumbent"
"13-2021.01","Supervise staff members.","New",,,8,"12/2004","Incumbent"
"13-2021.02","Collect and analyze relevant data to identify real estate market trends.","New",,,9,"12/2005","Incumbent"
"13-2061.00","Provide regulatory compliance training to employees.","New",,,11,"12/2005","Incumbent"
"13-2071.00","Counsel students on financial aid issues (e.g., providing entrance and exit loan counseling) and awards available.","New",,,12,"12/2005","Incumbent"
"13-2081.00","Answer questions from taxpayers and assist them with completing tax forms.","New",,,5,"07/2005","Incumbent"
"13-2082.00","Answer questions and provide future tax planning to clients.","New",,,13,"12/2005","Incumbent"
"13-2082.00","Explain federal and state tax laws to individuals and companies.","New",,,8,"12/2005","Incumbent"
"15-2021.00","Disseminate research by writing reports, publishing papers, or presenting at professional conferences.","New",,,11,"12/2005","Occupational Expert"
"15-2041.00","Develop software applications/programming to use for statistical modeling and graphic analysis.","New",,,11,"06/2006","Incumbent"
"15-2041.00","Present statistical and non-statistical results using charts, bullets, and graphs in meetings or conferences to audiences such as clients, peers, and students.","New",,,9,"06/2006","Incumbent"
"15-2041.00","Report results of statistical analyses in peer reviewed papers and technical manuals.","New",,,10,"06/2006","Incumbent"
"17-1011.00","Seek new work opportunities through marketing, writing proposals, and giving presentations.","New",,,8,"03/2003","Incumbent"
"17-1012.00","Prepare graphic representations and drawings of proposed plans and designs.","New",,,6,"03/2003","Incumbent"
