Commodity Code,O*NET-SOC Code,O*NET-SOC Title,T2 Type,T2 Example,Commodity Title
43211503,"11-1011.00","Chief Executives","Tools","Laptop computers","Notebook computers"
43211508,"11-1011.00","Chief Executives","Tools","Personal computers","Personal computers"
43191501,"11-1011.00","Chief Executives","Tools","Smartphones","Mobile phones"
43233501,"11-1011.00","Chief Executives","Technology","Email software","Electronic mail software"
43231605,"11-1011.00","Chief Executives","Technology","Exact Software Macola ES Labor Performance","Time accounting software"
43231602,"11-1011.00","Chief Executives","Technology","Great Plains software","Enterprise resource planning ERP software"
43231505,"11-1011.00","Chief Executives","Technology","Halogen ePraisal","Human resources software"
43231505,"11-1011.00","Chief Executives","Technology","Infor SSA Human Capital Management","Human resources software"
43231601,"11-1011.00","Chief Executives","Technology","Intuit QuickBooks","Accounting software"
43232110,"11-1011.00","Chief Executives","Technology","Microsoft Excel","Spreadsheet software"
43231513,"11-1011.00","Chief Executives","Technology","Microsoft Office","Office suite software"
43231605,"11-1011.00","Chief Executives","Technology","Norchard Solutions Succession Wizard","Time accounting software"
43231601,"11-1011.00","Chief Executives","Technology","Sage Peachtree","Accounting software"
43231602,"11-1011.00","Chief Executives","Technology","SAP software","Enterprise resource planning ERP software"
43191501,"11-1021.00","General and Operations Managers","Tools","Cell phones","Mobile phones"
43211711,"11-1021.00","General and Operations Managers","Tools","Computer scanners","Scanners"
43211507,"11-1021.00","General and Operations Managers","Tools","Desktop computers","Desktop computers"
43211503,"11-1021.00","General and Operations Managers","Tools","Notebook computers","Notebook computers"
44101501,"11-1021.00","General and Operations Managers","Tools","Photocopying equipment","Photocopiers"
43232303,"11-1021.00","General and Operations Managers","Technology","AMG Teleran SalesInSync","Customer relationship management CRM software"
43232405,"11-1021.00","General and Operations Managers","Technology","Borland Delphi software","Object or component oriented development software"
43232307,"11-1021.00","General and Operations Managers","Technology","Datawatch Monarch","Data mining software"
43233501,"11-1021.00","General and Operations Managers","Technology","Email software","Electronic mail software"
43231602,"11-1021.00","General and Operations Managers","Technology","Enterprise resource planning ERP software","Enterprise resource planning ERP software"
43231605,"11-1021.00","General and Operations Managers","Technology","Kronos Workforce Timekeeper","Time accounting software"
43231506,"11-1021.00","General and Operations Managers","Technology","LSA Visual Easy Lean","Materials requirements planning logistics and supply chain software"
43232303,"11-1021.00","General and Operations Managers","Technology","Maximizer Software Maximizer Enterprise","Customer relationship management CRM software"
43232306,"11-1021.00","General and Operations Managers","Technology","Microsoft Access","Data base user interface and query software"
43232110,"11-1021.00","General and Operations Managers","Technology","Microsoft Excel","Spreadsheet software"
43233503,"11-1021.00","General and Operations Managers","Technology","Microsoft Office SharePoint Portal Server","Network conferencing software"
43232105,"11-1021.00","General and Operations Managers","Technology","Microsoft Office Visio","Charting software"
43233501,"11-1021.00","General and Operations Managers","Technology","Microsoft Outlook","Electronic mail software"
43231507,"11-1021.00","General and Operations Managers","Technology","Microsoft Project","Project management software"
43232303,"11-1021.00","General and Operations Managers","Technology","NetSuite NetCRM","Customer relationship management CRM software"
43232106,"11-1021.00","General and Operations Managers","Technology","Presentation software","Presentation software"
43231507,"11-1021.00","General and Operations Managers","Technology","Realization Project Flow","Project management software"
43232303,"11-1021.00","General and Operations Managers","Technology","Salesforce.com CRM","Customer relationship management CRM software"
43231602,"11-1021.00","General and Operations Managers","Technology","SAP software","Enterprise resource planning ERP software"
