Code,Occupation
29-1199.01,Acupuncturists
29-1141.01,Acute Care Nurses
25-2059.01,Adapted Physical Education Specialists
29-1141.02,Advanced Practice Psychiatric Nurses
29-1069.01,Allergists and Immunologists
29-1071.01,Anesthesiologist Assistants
29-1125.01,Art Therapists
17-3027.01,Automotive Engineering Technicians
17-2141.02,Automotive Engineers
35-3022.01,Baristas
17-2199.01,Biochemical Engineers
51-8099.01,Biofuels Processing Technicians
11-3051.03,Biofuels Production Managers
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
19-1029.01,Bioinformatics Scientists
43-9111.01,Bioinformatics Technicians
51-8099.03,Biomass Plant Technicians
11-3051.04,Biomass Power Plant Managers
15-2041.01,Biostatisticians
11-9199.11,Brownfield Redevelopment Specialists and Site Managers
13-1199.04,Business Continuity Planners
15-1199.08,Business Intelligence Analysts
11-1011.03,Chief Sustainability Officers
19-2041.01,Climate Change Analysts
15-2041.02,Clinical Data Managers
29-1141.04,Clinical Nurse Specialists
11-9121.01,Clinical Research Coordinators
11-9199.02,Compliance Managers
15-1199.02,Computer Systems Engineers/Architects
29-1141.03,Critical Care Nurses
13-1199.03,Customs Brokers
29-2011.01,Cytogenetic Technologists
29-2011.02,Cytotechnologists
15-1199.07,Data Warehousing Specialists
15-1199.06,Database Architects
29-1069.02,Dermatologists
11-9039.01,Distance Learning Coordinators
15-1199.12,Document Management Specialists
17-3029.02,Electrical Engineering Technologists
17-3029.03,Electromechanical Engineering Technologists
17-3029.04,Electronics Engineering Technologists
31-9099.02,Endoscopy Technicians
13-1199.01,Energy Auditors
41-3099.01,Energy Brokers
17-2199.03,Energy Engineers
19-3011.01,Environmental Economists
19-2041.02,Environmental Restoration Planners
13-2099.01,Financial Quantitative Analysts
11-9039.02,Fitness and Wellness Coordinators
13-2099.04,"Fraud Examiners, Investigators and Analysts"
43-5011.01,Freight Forwarders
17-2141.01,Fuel Cell Engineers
17-3029.10,Fuel Cell Technicians
19-1029.03,Geneticists
17-1022.01,Geodetic Surveyors
15-1199.05,Geographic Information Systems Technicians
15-1199.04,Geospatial Information Scientists and Technologists
11-3051.02,Geothermal Production Managers
49-9099.01,Geothermal Technicians
11-2011.01,Green Marketers
29-2011.03,Histotechnologists and Histologic Technicians
29-1069.03,Hospitalists
17-2112.01,Human Factors Engineers and Ergonomists
51-8099.04,Hydroelectric Plant Technicians
11-3051.06,Hydroelectric Production Managers
19-2041.03,Industrial Ecologists
17-3029.05,Industrial Engineering Technologists
15-1121.01,Informatics Nurse Specialists
15-1199.09,Information Technology Project Managers
25-9031.01,Instructional Designers and Technologists
33-3021.06,Intelligence Analysts
11-9199.03,Investment Fund Managers
13-2099.03,Investment Underwriters
13-1081.02,Logistics Analysts
13-1081.01,Logistics Engineers
11-3071.03,Logistics Managers
11-9199.08,Loss Prevention Managers
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
17-3029.06,Manufacturing Engineering Technologists
17-2199.04,Manufacturing Engineers
17-3029.09,Manufacturing Production Technicians
17-3029.07,Mechanical Engineering Technologists
17-2199.05,Mechatronics Engineers
11-3051.05,Methane/Landfill Gas Collection System Operators
51-8099.02,Methane/Landfill Gas Generation System Technicians
17-2199.06,Microsystems Engineers
29-9099.01,Midwives
19-1029.02,Molecular and Cellular Biologists
29-1125.02,Music Therapists
17-2199.09,Nanosystems Engineers
17-3029.12,Nanotechnology Engineering Technicians
17-3029.11,Nanotechnology Engineering Technologists
29-1199.04,Naturopathic Physicians
29-2099.01,Neurodiagnostic Technologists
29-1069.04,Neurologists
19-3039.01,Neuropsychologists and Clinical Neuropsychologists
17-3029.01,Non-Destructive Testing Specialists
29-1069.05,Nuclear Medicine Physicians
13-1199.06,Online Merchants
29-2099.05,Ophthalmic Medical Technologists
29-1069.06,Ophthalmologists
29-1199.05,Orthoptists
29-1069.07,Pathologists
43-4051.03,Patient Representatives
17-2199.07,Photonics Engineers
17-3029.08,Photonics Technicians
29-1069.08,Physical Medicine and Rehabilitation Physicians
19-4099.02,Precision Agriculture Technicians
29-1069.09,Preventive Medicine Physicians
19-4099.01,Quality Control Analysts
11-3051.01,Quality Control Systems Managers
17-2072.01,Radio Frequency Identification Device Specialists
29-1069.10,Radiologists
51-9199.01,Recycling and Reclamation Workers
53-1021.01,Recycling Coordinators
11-9199.01,Regulatory Affairs Managers
13-1041.07,Regulatory Affairs Specialists
19-2099.01,Remote Sensing Scientists and Technologists
19-4099.03,Remote Sensing Technicians
33-9099.02,Retail Loss Prevention Specialists
13-2099.02,Risk Management Specialists
17-2199.08,Robotics Engineers
17-3024.01,Robotics Technicians
15-1199.10,Search Marketing Strategists
41-3031.03,Securities and Commodities Traders
13-1199.02,Security Management Specialists
11-9199.07,Security Managers
15-1199.01,Software Quality Assurance Engineers and Testers
47-1011.03,Solar Energy Installation Managers
17-2199.11,Solar Energy Systems Engineers
41-4011.07,Solar Sales Representatives and Assessors
47-4099.02,Solar Thermal Installers and Technicians
39-1021.01,Spa Managers
31-9099.01,Speech-Language Pathology Assistants
29-1069.11,Sports Medicine Physicians
11-9199.04,Supply Chain Managers
29-2099.07,Surgical Assistants
13-1199.05,Sustainability Specialists
15-1143.01,Telecommunications Engineering Specialists
17-2051.01,Transportation Engineers
19-3099.01,Transportation Planners
25-3099.02,Tutors
29-1069.12,Urologists
17-2199.02,Validation Engineers
15-1199.11,Video Game Designers
11-9121.02,Water Resource Specialists
17-2081.01,Water/Wastewater Engineers
47-4099.03,Weatherization Installers and Technicians
15-1199.03,Web Administrators
17-2199.10,Wind Energy Engineers
11-9199.09,Wind Energy Operations Managers
11-9199.10,Wind Energy Project Managers
