Code,Occupation
15-2011.00,Actuaries
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
29-1071.01,Anesthesiologist Assistants
29-1061.00,Anesthesiologists
29-1181.00,Audiologists
49-3091.00,Bicycle Repairers
17-2031.00,Biomedical Engineers
15-2041.01,Biostatisticians
47-2021.00,Brickmasons and Blockmasons
29-2031.00,Cardiovascular Technologists and Technicians
47-2031.00,Carpenters
47-2051.00,Cement Masons and Concrete Finishers
27-2032.00,Choreographers
15-2041.02,Clinical Data Managers
49-9092.00,Commercial Divers
21-1094.00,Community Health Workers
51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
15-1121.00,Computer Systems Analysts
39-6012.00,Concierges
47-2031.01,Construction Carpenters
47-2061.00,Construction Laborers
13-1051.00,Cost Estimators
31-9091.00,Dental Assistants
29-2021.00,Dental Hygienists
29-2032.00,Diagnostic Medical Sonographers
47-4021.00,Elevator Installers and Repairers
29-2041.00,Emergency Medical Technicians and Paramedics
47-4031.00,Fence Erectors
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
29-9092.00,Genetic Counselors
19-3092.00,Geographers
25-1071.00,"Health Specialties Teachers, Postsecondary"
29-2099.00,"Health Technologists and Technicians, All Other"
21-1022.00,Healthcare Social Workers
29-2092.00,Hearing Aid Specialists
47-3019.00,"Helpers, Construction Trades, All Other"
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
47-3012.00,Helpers--Carpenters
47-3013.00,Helpers--Electricians
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
31-1011.00,Home Health Aides
19-3032.00,Industrial-Organizational Psychologists
15-1121.01,Informatics Nurse Specialists
15-1122.00,Information Security Analysts
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
47-2132.00,"Insulation Workers, Mechanical"
27-3091.00,Interpreters and Translators
29-2061.00,Licensed Practical and Licensed Vocational Nurses
13-1081.00,Logisticians
13-1081.02,Logistics Analysts
13-1081.01,Logistics Engineers
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
29-2035.00,Magnetic Resonance Imaging Technologists
13-1161.00,Market Research Analysts and Marketing Specialists
21-1013.00,Marriage and Family Therapists
31-9011.00,Massage Therapists
15-2021.00,Mathematicians
49-9011.00,Mechanical Door Repairers
29-2012.00,Medical and Clinical Laboratory Technicians
11-9111.00,Medical and Health Services Managers
31-9092.00,Medical Assistants
49-9062.00,Medical Equipment Repairers
29-2071.00,Medical Records and Health Information Technicians
43-6013.00,Medical Secretaries
13-1121.00,"Meeting, Convention, and Event Planners"
21-1023.00,Mental Health and Substance Abuse Social Workers
21-1014.00,Mental Health Counselors
29-2099.01,Neurodiagnostic Technologists
29-1151.00,Nurse Anesthetists
29-1161.00,Nurse Midwives
29-1171.00,Nurse Practitioners
25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
29-1122.00,Occupational Therapists
31-2012.00,Occupational Therapy Aides
31-2011.00,Occupational Therapy Assistants
15-2031.00,Operations Research Analysts
29-2057.00,Ophthalmic Medical Technicians
29-2099.05,Ophthalmic Medical Technologists
29-2081.00,"Opticians, Dispensing"
29-1041.00,Optometrists
29-2091.00,Orthotists and Prosthetists
39-9021.00,Personal Care Aides
13-2052.00,Personal Financial Advisors
17-2171.00,Petroleum Engineers
31-9097.00,Phlebotomists
31-2022.00,Physical Therapist Aides
31-2021.00,Physical Therapist Assistants
29-1123.00,Physical Therapists
29-1071.00,Physician Assistants
47-2072.00,Pile-Driver Operators
29-1081.00,Podiatrists
29-1124.00,Radiation Therapists
29-2099.06,Radiologic Technicians
47-2171.00,Reinforcing Iron and Rebar Workers
49-9096.00,Riggers
47-2031.02,Rough Carpenters
47-4091.00,Segmental Pavers
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
39-5094.00,Skincare Specialists
21-1093.00,Social and Human Service Assistants
15-1132.00,"Software Developers, Applications"
47-1011.03,Solar Energy Installation Managers
47-2231.00,Solar Photovoltaic Installers
15-2041.00,Statisticians
47-2022.00,Stonemasons
47-2221.00,Structural Iron and Steel Workers
21-1011.00,Substance Abuse and Behavioral Disorder Counselors
29-1067.00,Surgeons
29-2099.07,Surgical Assistants
29-2055.00,Surgical Technologists
29-1129.00,"Therapists, All Other"
29-2056.00,Veterinary Technologists and Technicians
49-9081.00,Wind Turbine Service Technicians
