O*NET-SOC Code,T2 Type,T2 Example,Commodity Code,Commodity Title,Title,broad_group,minor_group,major_group,broad_title,minor_title,major_title,segment_code,class_code,family_code,class_title,family_title,segment_title
11-1021.00,Tools,humidity test chambers,41103418,temperature humidity walk environmental chamber,General and Operations Managers,11-1020,11-1000,11-0000,General and Operations Managers,Top Executives,Management Occupations,41000000,41103400,41100000,Laboratory environmental conditioning equipment,Laboratory and scientific equipment,Laboratory and Measuring and Observing and Testing Equipment
11-1021.00,Technology,ibm cognos impromptu,43232314,business intelligence data analysis software,General and Operations Managers,11-1020,11-1000,11-0000,General and Operations Managers,Top Executives,Management Occupations,43000000,43232300,43230000,Data management and query software,Software,Information Technology Broadcasting and Telecommunications
11-1021.00,Technology,ibm power systems software,43233701,enterprise system management software,General and Operations Managers,11-1020,11-1000,11-0000,General and Operations Managers,Top Executives,Management Occupations,43000000,43233700,43230000,System management software,Software,Information Technology Broadcasting and Telecommunications
11-1021.00,Technology,microstrategy software,43232314,business intelligence data analysis software,General and Operations Managers,11-1020,11-1000,11-0000,General and Operations Managers,Top Executives,Management Occupations,43000000,43232300,43230000,Data management and query software,Software,Information Technology Broadcasting and Telecommunications
11-1021.00,Technology,qlik tech qlikview,43232314,business intelligence data analysis software,General and Operations Managers,11-1020,11-1000,11-0000,General and Operations Managers,Top Executives,Management Occupations,43000000,43232300,43230000,Data management and query software,Software,Information Technology Broadcasting and Telecommunications
11-1021.00,Technology,splunk enterprise,43233701,enterprise system management software,General and Operations Managers,11-1020,11-1000,11-0000,General and Operations Managers,Top Executives,Management Occupations,43000000,43233700,43230000,System management software,Software,Information Technology Broadcasting and Telecommunications
11-1021.00,Technology,tableau software,43232314,business intelligence data analysis software,General and Operations Managers,11-1020,11-1000,11-0000,General and Operations Managers,Top Executives,Management Occupations,43000000,43232300,43230000,Data management and query software,Software,Information Technology Broadcasting and Telecommunications
11-1031.00,Technology,ibm domino,43232902,communications server software,Legislators,11-1030,11-1000,11-0000,Legislators,Top Executives,Management Occupations,43000000,43232900,43230000,Networking software,Software,Information Technology Broadcasting and Telecommunications
11-2011.00,Technology,google adwords,43231514,sales marketing software,Advertising and Promotions Managers,11-2010,11-2000,11-0000,Advertising and Promotions Managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Management Occupations,43000000,43231500,43230000,Business function specific software,Software,Information Technology Broadcasting and Telecommunications
11-2011.00,Technology,google doubleclick,43232314,business intelligence data analysis software,Advertising and Promotions Managers,11-2010,11-2000,11-0000,Advertising and Promotions Managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Management Occupations,43000000,43232300,43230000,Data management and query software,Software,Information Technology Broadcasting and Telecommunications
11-2011.01,Tools,laser facsimile machines,44101508,laser fax machine,Green Marketers,11-2010,11-2000,11-0000,Advertising and Promotions Managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Management Occupations,44000000,44101500,44100000,Duplicating machines,Office machines and their supplies and accessories,Office Equipment and Accessories and Supplies
11-2021.00,Tools,laser facsimile machines,44101508,laser fax machine,Marketing Managers,11-2020,11-2000,11-0000,Marketing and Sales Managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Management Occupations,44000000,44101500,44100000,Duplicating machines,Office machines and their supplies and accessories,Office Equipment and Accessories and Supplies
