"Table 1.7 Occupational employment and job openings data, projected 2014-24, and worker characteristics, 2014(Numbers in thousands)",,,,,,,,,,,
2014 National Employment Matrix title and code,,Employment,,"Employment change, 2014-24",,"Percent self employed, 2014","Job openings due to growth and replacement needs, 2014-24","Median annual wage, 2014 (1)",Typical education needed for entry  ,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
,,2014,2024,Number,Percent,,,,,,
"Total, all occupations",00-0000,"150,539.9","160,328.8","9,788.9",6.5,6.2,"46,506.9","$35,540",Ñ,Ñ,Ñ
Management occupations,11-0000,"9,157.5","9,662.9",505.4,5.5,20.3,"2,586.8","$97,230",Ñ,Ñ,Ñ
Top executives,11-1000,"2,525.9","2,672.5",146.6,5.8,3.6,760.0,"$100,910",Ñ,Ñ,Ñ
Chief executives,11-1011,343.4,339.4,-4.1,-1.2,23.8,58.4,"$173,320",Bachelor's degree,5 years or more,None
General and operations managers,11-1021,"2,124.1","2,275.2",151.1,7.1,0.4,688.8,"$97,270",Bachelor's degree,5 years or more,None
Legislators,11-1031,58.3,57.9,-0.4,-0.7,Ñ,12.9,"$20,180",Bachelor's degree,Less than 5 years,None
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,667.3,710.7,43.4,6.5,2.8,210.7,"$114,230",Ñ,Ñ,Ñ
Advertising and promotions managers,11-2011,31.0,32.4,1.5,4.7,2.9,11.4,"$96,720",Bachelor's degree,Less than 5 years,None
Marketing and sales managers,11-2020,570.6,607.8,37.3,6.5,3.1,172.2,"$116,490",Ñ,Ñ,Ñ
Marketing managers,11-2021,194.3,212.5,18.2,9.4,3.1,64.2,"$127,130",Bachelor's degree,5 years or more,None
Sales managers,11-2022,376.3,395.3,19.0,5.1,3.1,108.0,"$110,660",Bachelor's degree,Less than 5 years,None
Public relations and fundraising managers,11-2031,65.8,70.5,4.7,7.1,0.3,27.1,"$101,510",Bachelor's degree,5 years or more,None
Operations specialties managers,11-3000,"1,721.9","1,847.7",125.9,7.3,1.8,499.9,"$105,750",Ñ,Ñ,Ñ
Administrative services managers,11-3011,287.3,310.8,23.5,8.2,0.5,77.2,"$83,790",Bachelor's degree,Less than 5 years,None
Computer and information systems managers,11-3021,348.5,402.2,53.7,15.4,1.3,94.8,"$127,640",Bachelor's degree,5 years or more,None
Financial managers,11-3031,555.9,593.5,37.7,6.8,3.1,169.3,"$115,320",Bachelor's degree,5 years or more,None
Industrial production managers,11-3051,173.4,167.0,-6.3,-3.7,2.1,49.1,"$92,470",Bachelor's degree,5 years or more,None
Purchasing managers,11-3061,73.0,73.7,0.7,1.0,1.4,17.9,"$106,090",Bachelor's degree,5 years or more,None
"Transportation, storage, and distribution managers",11-3071,111.6,114.1,2.5,2.2,0.8,27.1,"$85,400",High school diploma or equivalent,5 years or more,None
Compensation and benefits managers,11-3111,16.9,18.0,1.1,6.5,Ñ,6.0,"$108,070",Bachelor's degree,5 years or more,None
Human resources managers,11-3121,122.5,133.3,10.8,8.8,1.2,46.6,"$102,780",Bachelor's degree,5 years or more,None
Training and development managers,11-3131,32.9,35.2,2.3,7.0,3.1,11.9,"$101,930",Bachelor's degree,5 years or more,None
Other management occupations,11-9000,"4,242.5","4,431.9",189.5,4.5,40.5,"1,116.2","$84,800",Ñ,Ñ,Ñ
"Farmers, ranchers, and other agricultural managers",11-9013,929.8,911.7,-18.1,-1.9,70.7,158.4,"$68,050",High school diploma or equivalent,5 years or more,None
Construction managers,11-9021,373.2,391.1,17.8,4.8,38.0,70.1,"$85,630",Bachelor's degree,None,Moderate-term on-the-job training
Education administrators,11-9030,516.9,551.8,34.9,6.8,4.4,185.2,"$84,780",Ñ,Ñ,Ñ
"Education administrators, preschool and childcare center/program",11-9031,64.0,68.2,4.2,6.6,9.7,22.9,"$45,260",Bachelor's degree,Less than 5 years,None
"Education administrators, elementary and secondary school",11-9032,240.0,254.0,14.0,5.8,2.1,83.8,"$89,540",Master's degree,5 years or more,None
"Education administrators, postsecondary",11-9033,175.1,190.3,15.2,8.7,5.3,66.1,"$88,390",Master's degree,Less than 5 years,None
"Education administrators, all other",11-9039,37.8,39.3,1.5,4.0,6.3,12.5,"$77,020",Bachelor's degree,Less than 5 years,None
Architectural and engineering managers,11-9041,182.1,185.8,3.7,2.0,0.1,59.5,"$130,620",Bachelor's degree,5 years or more,None
Food service managers,11-9051,305.0,320.7,15.7,5.1,34.2,77.1,"$48,560",High school diploma or equivalent,Less than 5 years,None
Funeral service managers,11-9061,29.3,30.3,1.0,3.3,70.8,7.4,"$68,870",Associate's degree,Less than 5 years,None
Gaming managers,11-9071,3.8,3.8,0.0,-0.6,31.9,0.8,"$67,310",High school diploma or equivalent,Less than 5 years,None
Lodging managers,11-9081,48.4,52.1,3.7,7.6,32.6,13.0,"$47,680",High school diploma or equivalent,Less than 5 years,None
Medical and health services managers,11-9111,333.0,389.3,56.3,16.9,4.3,140.5,"$92,810",Bachelor's degree,Less than 5 years,None
Natural sciences managers,11-9121,55.1,56.9,1.8,3.3,Ñ,13.3,"$120,050",Bachelor's degree,5 years or more,None
Postmasters and mail superintendents,11-9131,17.3,12.8,-4.6,-26.2,Ñ,3.8,"$65,800",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Property, real estate, and community association managers",11-9141,313.8,339.1,25.3,8.1,43.7,79.9,"$54,270",High school diploma or equivalent,Less than 5 years,None
Social and community service managers,11-9151,138.5,151.7,13.2,9.5,6.0,49.8,"$62,740",Bachelor's degree,5 years or more,None
Emergency management directors,11-9161,10.5,11.2,0.7,6.2,Ñ,1.9,"$64,360",Bachelor's degree,5 years or more,None
"Managers, all other",11-9199,985.6,"1,023.6",38.0,3.9,60.4,255.4,"$105,060",Bachelor's degree,Less than 5 years,None
Business and financial operations occupations,13-0000,"7,565.3","8,197.8",632.4,8.4,5.4,"2,191.7","$64,790",Ñ,Ñ,Ñ
Business operations specialists,13-1000,"4,708.8","5,054.2",345.5,7.3,4.9,"1,204.5","$63,880",Ñ,Ñ,Ñ
"Agents and business managers of artists, performers, and athletes",13-1011,19.7,20.2,0.5,2.5,38.1,6.8,"$64,200",Bachelor's degree,Less than 5 years,None
Buyers and purchasing agents,13-1020,443.2,450.3,7.2,1.6,5.6,135.1,"$58,520",Ñ,Ñ,Ñ
