O*NET-SOC Code,Title,broad_title,minor_title,major_title
11-1031.00,Legislators,Legislators,Top Executives,Management Occupations
11-3051.01,Quality Control Systems Managers,Industrial Production Managers,Operations Specialties Managers,Management Occupations
11-9013.01,Nursery and Greenhouse Managers,"Farmers, Ranchers, and Other Agricultural Managers",Other Management Occupations,Management Occupations
11-9013.02,Farm and Ranch Managers,"Farmers, Ranchers, and Other Agricultural Managers",Other Management Occupations,Management Occupations
11-9013.03,Aquacultural Managers,"Farmers, Ranchers, and Other Agricultural Managers",Other Management Occupations,Management Occupations
11-9039.01,Distance Learning Coordinators,Education Administrators,Other Management Occupations,Management Occupations
11-9039.02,Fitness and Wellness Coordinators,Education Administrators,Other Management Occupations,Management Occupations
11-9131.00,Postmasters and Mail Superintendents,Postmasters and Mail Superintendents,Other Management Occupations,Management Occupations
11-9161.00,Emergency Management Directors,Emergency Management Directors,Other Management Occupations,Management Occupations
11-9199.03,Investment Fund Managers,Miscellaneous Managers,Other Management Occupations,Management Occupations
11-9199.07,Security Managers,Miscellaneous Managers,Other Management Occupations,Management Occupations
11-9199.08,Loss Prevention Managers,Miscellaneous Managers,Other Management Occupations,Management Occupations
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",Business Operations Specialists,Business and Financial Operations Occupations
13-1032.00,"Insurance Appraisers, Auto Damage","Claims Adjusters, Appraisers, Examiners, and Investigators",Business Operations Specialists,Business and Financial Operations Occupations
13-1071.00,Human Resources Specialists,Human Resources Workers,Business Operations Specialists,Business and Financial Operations Occupations
13-1074.00,Farm Labor Contractors,Human Resources Workers,Business Operations Specialists,Business and Financial Operations Occupations
13-1075.00,Labor Relations Specialists,Human Resources Workers,Business Operations Specialists,Business and Financial Operations Occupations
13-1131.00,Fundraisers,Fundraisers,Business Operations Specialists,Business and Financial Operations Occupations
13-1161.00,Market Research Analysts and Marketing Specialists,Market Research Analysts and Marketing Specialists,Business Operations Specialists,Business and Financial Operations Occupations
13-1199.02,Security Management Specialists,Miscellaneous Business Operations Specialists,Business Operations Specialists,Business and Financial Operations Occupations
13-1199.03,Customs Brokers,Miscellaneous Business Operations Specialists,Business Operations Specialists,Business and Financial Operations Occupations
13-1199.04,Business Continuity Planners,Miscellaneous Business Operations Specialists,Business Operations Specialists,Business and Financial Operations Occupations
13-1199.06,Online Merchants,Miscellaneous Business Operations Specialists,Business Operations Specialists,Business and Financial Operations Occupations
13-2099.04,"Fraud Examiners, Investigators and Analysts",Miscellaneous Financial Specialists,Financial Specialists,Business and Financial Operations Occupations
15-1111.00,Computer and Information Research Scientists,,,
15-1122.00,Information Security Analysts,,,
15-1132.00,"Software Developers, Applications",,,
15-1133.00,"Software Developers, Systems Software",,,
15-1143.00,Computer Network Architects,,,
15-1143.01,Telecommunications Engineering Specialists,,,
15-1151.00,Computer User Support Specialists,,,
15-1152.00,Computer Network Support Specialists,,,
15-1199.06,Database Architects,,,
15-1199.07,Data Warehousing Specialists,,,
15-1199.08,Business Intelligence Analysts,,,
15-1199.09,Information Technology Project Managers,,,
15-1199.10,Search Marketing Strategists,,,
15-1199.11,Video Game Designers,,,
15-1199.12,Document Management Specialists,,,
15-2091.00,Mathematical Technicians,Miscellaneous Mathematical Science Occupations,Mathematical Science Occupations,Computer and Mathematical Occupations
17-1022.01,Geodetic Surveyors,"Surveyors, Cartographers, and Photogrammetrists","Architects, Surveyors, and Cartographers",Architecture and Engineering Occupations
17-2072.01,Radio Frequency Identification Device Specialists,Electrical and Electronics Engineers,Engineers,Architecture and Engineering Occupations
17-2112.01,Human Factors Engineers and Ergonomists,"Industrial Engineers, Including Health and Safety",Engineers,Architecture and Engineering Occupations
17-3029.01,Non-Destructive Testing Specialists,"Engineering Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations
19-1029.01,Bioinformatics Scientists,Biological Scientists,Life Scientists,"Life, Physical, and Social Science Occupations"
19-1031.02,Range Managers,Conservation Scientists and Foresters,Life Scientists,"Life, Physical, and Social Science Occupations"
19-1031.03,Park Naturalists,Conservation Scientists and Foresters,Life Scientists,"Life, Physical, and Social Science Occupations"
19-1032.00,Foresters,Conservation Scientists and Foresters,Life Scientists,"Life, Physical, and Social Science Occupations"
19-3041.00,Sociologists,Sociologists,Social Scientists and Related Workers,"Life, Physical, and Social Science Occupations"
19-3093.00,Historians,Miscellaneous Social Scientists and Related Workers,Social Scientists and Related Workers,"Life, Physical, and Social Science Occupations"
19-3094.00,Political Scientists,Miscellaneous Social Scientists and Related Workers,Social Scientists and Related Workers,"Life, Physical, and Social Science Occupations"
19-4061.00,Social Science Research Assistants,Social Science Research Assistants,"Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Occupations"
19-4099.01,Quality Control Analysts,"Miscellaneous Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Occupations"
21-1092.00,Probation Officers and Correctional Treatment Specialists,Miscellaneous Community and Social Service Specialists,"Counselors, Social Workers, and Other Community and Social Service Specialists",Community and Social Service Occupations
21-1094.00,Community Health Workers,Miscellaneous Community and Social Service Specialists,"Counselors, Social Workers, and Other Community and Social Service Specialists",Community and Social Service Occupations
21-2011.00,Clergy,Clergy,Religious Workers,Community and Social Service Occupations
21-2021.00,"Directors, Religious Activities and Education","Directors, Religious Activities and Education",Religious Workers,Community and Social Service Occupations
23-1012.00,Judicial Law Clerks,Lawyers and Judicial Law Clerks,"Lawyers, Judges, and Related Workers",Legal Occupations
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Judges, Magistrates, and Other Judicial Workers","Lawyers, Judges, and Related Workers",Legal Occupations
23-1023.00,"Judges, Magistrate Judges, and Magistrates","Judges, Magistrates, and Other Judicial Workers","Lawyers, Judges, and Related Workers",Legal Occupations
