0,43-5081.03,3.01,1.53,1.48,0.967320261438,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",43-5080,43-5000,43-0000,Stock Clerks and Order Fillers,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support Occupations,43-5081
1,19-1020.01,2.02,1.07,0.95,0.88785046729,Biologists,19-1020,19-1000,19-0000,Biological Scientists,Life Scientists,"Life, Physical, and Social Science Occupations",19-1020
2,41-2012.00,3.11,1.74,1.37,0.787356321839,Gaming Change Persons and Booth Cashiers,41-2010,41-2000,41-0000,Cashiers,Retail Sales Workers,Sales and Related Occupations,41-2012
3,47-2011.00,2.64,1.57,1.07,0.68152866242,Boilermakers,47-2010,47-2000,47-0000,Boilermakers,Construction Trades Workers,Construction and Extraction Occupations,47-2011
4,21-2011.00,2.01,1.25,0.76,0.608,Clergy,21-2010,21-2000,21-0000,Clergy,Religious Workers,Community and Social Service Occupations,21-2011
5,17-2131.00,2.15,1.34,0.81,0.60447761194,Materials Engineers,17-2130,17-2000,17-0000,Materials Engineers,Engineers,Architecture and Engineering Occupations,17-2131
6,15-2021.00,2.12,1.33,0.79,0.593984962406,Mathematicians,15-2020,15-2000,15-0000,Mathematicians,Mathematical Science Occupations,Computer and Mathematical Occupations,15-2021
7,31-2011.00,1.78,1.12,0.66,0.589285714286,Occupational Therapy Assistants,31-2010,31-2000,31-0000,Occupational Therapy Assistants and Aides,Occupational Therapy and Physical Therapist Assistants and Aides,Healthcare Support Occupations,31-2011
8,53-7064.00,2.39,1.52,0.87,0.572368421053,"Packers and Packagers, Hand",53-7060,53-7000,53-0000,"Laborers and Material Movers, Hand",Material Moving Workers,Transportation and Material Moving Occupations,53-7064
9,23-1023.00,2.94,1.87,1.07,0.572192513369,"Judges, Magistrate Judges, and Magistrates",23-1020,23-1000,23-0000,"Judges, Magistrates, and Other Judicial Workers","Lawyers, Judges, and Related Workers",Legal Occupations,23-1023
10,47-2171.00,1.86,1.19,0.67,0.563025210084,Reinforcing Iron and Rebar Workers,47-2170,47-2000,47-0000,Reinforcing Iron and Rebar Workers,Construction Trades Workers,Construction and Extraction Occupations,47-2171
11,51-2011.00,2.17,1.39,0.78,0.561151079137,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2010,51-2000,51-0000,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Assemblers and Fabricators,Production Occupations,51-2011
12,13-1031.01,3.91,2.51,1.4,0.557768924303,"Claims Examiners, Property and Casualty Insurance",13-1030,13-1000,13-0000,"Claims Adjusters, Appraisers, Examiners, and Investigators",Business Operations Specialists,Business and Financial Operations Occupations,13-1031
13,43-6012.00,2.66,1.71,0.95,0.555555555556,Legal Secretaries,43-6010,43-6000,43-0000,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,Office and Administrative Support Occupations,43-6012
14,21-1013.00,2.36,1.52,0.84,0.552631578947,Marriage and Family Therapists,21-1010,21-1000,21-0000,Counselors,"Counselors, Social Workers, and Other Community and Social Service Specialists",Community and Social Service Occupations,21-1013
15,33-9092.00,1.68,1.1,0.58,0.527272727273,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9090,33-9000,33-0000,Miscellaneous Protective Service Workers,Other Protective Service Workers,Protective Service Occupations,33-9092
16,43-4171.00,2.88,1.92,0.96,0.5,Receptionists and Information Clerks,43-4170,43-4000,43-0000,Receptionists and Information Clerks,Information and Record Clerks,Office and Administrative Support Occupations,43-4171
17,19-1012.00,2.77,1.85,0.92,0.497297297297,Food Scientists and Technologists,19-1010,19-1000,19-0000,Agricultural and Food Scientists,Life Scientists,"Life, Physical, and Social Science Occupations",19-1012
18,17-2072.00,2.13,1.43,0.7,0.48951048951,"Electronics Engineers, Except Computer",17-2070,17-2000,17-0000,Electrical and Electronics Engineers,Engineers,Architecture and Engineering Occupations,17-2072
