O*NET-SOC Code,automation_15,automation_9,delta,delta_pct,Title
43-5081.03,3.01,1.53,1.48,0.967320261438,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
19-1020.01,2.02,1.07,0.95,0.88785046729,Biologists
41-2012.00,3.11,1.74,1.37,0.787356321839,Gaming Change Persons and Booth Cashiers
47-2011.00,2.64,1.57,1.07,0.68152866242,Boilermakers
21-2011.00,2.01,1.25,0.76,0.608,Clergy
17-2131.00,2.15,1.34,0.81,0.60447761194,Materials Engineers
15-2021.00,2.12,1.33,0.79,0.593984962406,Mathematicians
31-2011.00,1.78,1.12,0.66,0.589285714286,Occupational Therapy Assistants
53-7064.00,2.39,1.52,0.87,0.572368421053,"Packers and Packagers, Hand"
23-1023.00,2.94,1.87,1.07,0.572192513369,"Judges, Magistrate Judges, and Magistrates"
47-2171.00,1.86,1.19,0.67,0.563025210084,Reinforcing Iron and Rebar Workers
51-2011.00,2.17,1.39,0.78,0.561151079137,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
13-1031.01,3.91,2.51,1.4,0.557768924303,"Claims Examiners, Property and Casualty Insurance"
43-6012.00,2.66,1.71,0.95,0.555555555556,Legal Secretaries
21-1013.00,2.36,1.52,0.84,0.552631578947,Marriage and Family Therapists
33-9092.00,1.68,1.1,0.58,0.527272727273,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
43-4171.00,2.88,1.92,0.96,0.5,Receptionists and Information Clerks
19-1012.00,2.77,1.85,0.92,0.497297297297,Food Scientists and Technologists
17-2072.00,2.13,1.43,0.7,0.48951048951,"Electronics Engineers, Except Computer"
11-1011.00,2.68,1.8,0.88,0.488888888889,Chief Executives
19-1042.00,1.98,1.35,0.63,0.466666666667,"Medical Scientists, Except Epidemiologists"
37-3011.00,2.49,1.7,0.79,0.464705882353,Landscaping and Groundskeeping Workers
53-7051.00,2.46,1.68,0.78,0.464285714286,Industrial Truck and Tractor Operators
29-1021.00,2.03,1.39,0.64,0.460431654676,"Dentists, General"
33-3011.00,1.92,1.32,0.6,0.454545454545,Bailiffs
53-4031.00,2.21,1.52,0.69,0.453947368421,Railroad Conductors and Yardmasters
29-1081.00,2.18,1.5,0.68,0.453333333333,Podiatrists
49-9062.00,2.03,1.41,0.62,0.439716312057,Medical Equipment Repairers
47-3012.00,1.92,1.35,0.57,0.422222222222,Helpers--Carpenters
33-3031.00,2.5,1.77,0.73,0.412429378531,Fish and Game Wardens
25-1061.00,1.96,1.39,0.57,0.410071942446,"Anthropology and Archeology Teachers, Postsecondary"
47-2141.00,2.07,1.48,0.59,0.398648648649,"Painters, Construction and Maintenance"
29-1062.00,2.47,1.78,0.69,0.387640449438,Family and General Practitioners
51-9023.00,2.73,1.97,0.76,0.38578680203,"Mixing and Blending Machine Setters, Operators, and Tenders"
25-1071.00,2.19,1.59,0.6,0.377358490566,"Health Specialties Teachers, Postsecondary"
31-2021.00,1.9,1.38,0.52,0.376811594203,Physical Therapist Assistants
43-3021.01,2.64,1.92,0.72,0.375,Statement Clerks
45-1011.07,2.68,1.96,0.72,0.367346938776,First-Line Supervisors of Agricultural Crop and Horticultural Workers
35-3021.00,2.33,1.71,0.62,0.362573099415,"Combined Food Preparation and Serving Workers, Including Fast Food"
17-2161.00,2.64,1.94,0.7,0.360824742268,Nuclear Engineers
41-9021.00,2.7,2.0,0.7,0.35,Real Estate Brokers
27-1021.00,2.71,2.01,0.7,0.348258706468,Commercial and Industrial Designers
17-2031.00,2.26,1.68,0.58,0.345238095238,Biomedical Engineers
