O*NET-SOC Code,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation Monitoring,Operation and Control,Operations Analysis,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11-1011.00,5.21,5.51,5.44,6.34,5.08,2.38,4.08,2.37,4.52,6.54,4.96,6.44,5.6,5.42,4.38,5.88,5.83,1.52,3.18,4.75,5.21,1.57,3.41,4.99,1.13,2.57,4.49,5.16,4.96,4.23,5.1,3.53,5.76,3.74,4.95
11-1021.00,3.5,3.62,3.5,4.0,3.88,0.0,0.25,0.12,3.12,3.5,3.25,3.0,3.25,3.62,2.5,3.88,3.5,2.88,1.75,0.25,3.5,0.5,2.0,3.88,0.0,0.0,3.0,3.62,3.75,3.38,3.25,0.75,3.5,1.38,3.75
11-2011.00,4.28,4.61,3.93,5.46,4.28,0.11,2.69,0.28,3.98,4.52,4.15,4.6,1.3,3.87,3.5,4.81,4.42,0.24,0.33,3.15,4.98,0.09,1.29,4.03,0.14,0.24,5.38,3.83,4.3,0.29,0.99,1.94,5.27,1.14,4.65
11-2021.00,4.12,4.25,3.88,3.88,4.38,0.0,0.0,0.0,3.62,4.0,3.5,3.88,2.88,4.0,3.25,4.25,4.0,1.5,0.0,0.88,4.25,1.38,1.75,4.25,0.0,0.0,3.5,4.12,4.25,3.75,3.88,1.12,3.75,0.0,3.75
11-2022.00,3.88,3.88,4.0,4.25,4.0,0.0,0.0,0.0,3.62,4.12,3.88,3.88,3.0,4.25,3.38,4.75,3.88,2.62,2.12,0.25,4.25,1.25,1.88,3.88,0.0,0.0,3.75,4.25,4.25,3.75,4.0,1.12,4.12,0.0,4.0
11-2031.00,4.65,5.05,4.57,5.08,4.84,0.72,3.43,1.0,3.73,4.34,3.68,4.1,2.64,3.64,3.44,5.36,3.99,1.07,2.0,3.77,4.36,0.02,2.41,4.83,0.17,1.94,4.75,5.08,5.04,3.09,3.57,1.64,4.71,2.96,5.16
11-3011.00,4.58,4.7,3.42,5.32,4.44,1.6,2.74,1.37,4.06,3.61,3.53,3.98,2.59,4.42,4.09,4.96,2.85,2.38,2.65,2.83,2.62,2.59,1.96,4.61,1.25,1.15,4.79,4.32,4.8,1.96,2.27,1.7,4.25,2.6,4.69
11-3021.00,3.88,3.75,3.75,3.62,3.88,2.38,2.75,0.25,3.88,3.62,3.12,3.25,3.25,3.62,2.62,4.12,3.38,3.12,2.12,1.62,3.38,2.5,2.88,4.0,2.5,0.0,3.38,3.5,3.75,3.5,4.12,2.25,3.62,3.12,3.88
11-3031.01,4.97,5.1,4.42,4.18,5.01,0.78,3.81,1.41,4.56,5.11,4.34,6.22,4.27,4.14,4.76,5.04,4.26,1.21,2.6,3.75,4.43,1.42,2.24,4.96,0.67,1.41,3.2,4.21,4.64,3.15,3.23,2.62,5.04,2.35,4.78
11-3031.02,4.98,4.95,3.73,4.26,4.84,1.34,1.16,0.97,5.33,4.93,4.98,4.05,2.15,5.14,4.2,5.15,4.31,0.64,2.25,2.72,4.67,0.3,2.69,4.62,0.81,0.58,4.91,4.82,4.78,2.71,3.9,0.74,5.22,3.57,4.58
