class_code,class_title
10111300,Domestic pet treatments and accessories and equipment
10131600,Animal containment
10131700,Animal habitats
10141500,Saddlery
10141600,Harness goods
10191700,Pest control devices
11111600,Stone
11162100,Specialty fabrics or cloth
12131600,Pyrotechnics
12131700,Igniters
12162500,Emulsion breakers
14111500,Printing and writing paper
14111800,Business use papers
15131600,Fission fuel assemblies
20101500,Cutting equipment
20101600,Screens and feeding equipment
20101700,Crushers and breakers and grinders
20101800,Mechanized ground support systems
20101900,Secondary rock breaking systems
20102000,Exploration and development systems
20102100,Rock drills
20102200,Explosive loading machinery
20102300,Underground mining service vehicles
20111600,Drilling and operation machinery
20111700,Drilling and operation accessories
20121100,Cementing equipment
20121300,Sand control equipment
20121400,Completion tools and equipment
20121500,Conventional drilling tools
20121900,Well measurement and logging equipment
20122100,Perforating equipment
20122200,Well testing equipment
20122300,Slickline equipment
20122400,Production systems equipment
20122500,Coiled tubing equipment
20122600,Seismic equipment
20122700,Oil country tubular goods
20122800,Drilling and workover rigs and equipment
20122900,Surface data logging equipment
20141000,Wellhead equipment
20141300,Downhole jet pumps and anchors
20141500,Downhole pumps
20142100,Heater treaters
20142500,Produced water treating equipment
20142700,Pumping units
20142800,Production separators
20142900,Storage vessels and tanks
21101500,Agricultural machinery for soil preparation
21101600,Agricultural machinery for planting and seeding
21101700,Agricultural machinery for harvesting
21101800,Dispersing and spraying appliances for agriculture
21101900,Poultry and livestock equipment
21102000,Agricultural machinery for cleaning and sorting and grading
21102200,Forestry machinery and equipment
21102300,Greenhouse equipment
21111500,Commercial fishing equipment
21111600,Aquaculture equipment
22101500,Earth moving machinery
22101600,Paving equipment
22101700,Heavy equipment components
22101800,Aerial lifts
22101900,Building construction machinery and accessories
22102000,Building demolition machinery and equipment
23101500,Machinery for working wood and stone and ceramic and the like
23111500,Petroleum distilling and processing machinery and equipment
23121500,Textile processing machinery and accessories
23121600,Textile working machinery and equipment and accessories
23131500,Grinding and sanding and polishing equipment and supplies
23131600,Faceting equipment and accessories
23141600,Leather preparing machinery and accessories
23141700,Leather working and repairing machinery and accessories
23151500,Rubber and plastic processing machinery and equipment and supplies
23151600,Cement and ceramics and glass industry machinery and equipment and supplies
23151700,Optical industry machinery and equipment and supplies
23151800,Pharmaceutical industry machinery and equipment and supplies
23151900,Paper making and paper processing machinery and equipment and supplies
23152000,Web handling and control machinery and equipment and supplies
23152100,Separation machinery and equipment
23152200,Manufacturing tables and stands
23152900,Packaging machinery
23153000,Holding and positioning and guiding systems and devices
23153100,Industrial machinery components and accessories
23153200,Robotics
23153400,Assembly machines
23153500,Paint systems
23153600,Part marking machines
23153800,Coating systems
23161500,Foundry machines and equipment
23161600,Foundry supplies
23181500,Food preparation machinery
23181600,Food cutting machinery
23181700,Food cooking and smoking machinery
23181800,Industrial beverage processing machinery
23191000,Batch mixers
23191100,Continuous mixers
23201000,Gas liquid contacting systems
23201200,Industrial drying equipment
23211100,Electronic manufacturing and processing machinery
23221100,Killing and defeathering department machinery and equipment
23231100,Bandsaws and accessories
23241400,Metal grinding machines
23241500,Metal cutting machines
23241600,Metal cutting tools
23241700,Metal deburring machines
23241800,Metal drilling machines
23241900,Metal boring machines
23242100,Metal cutting machine attachments
23242300,Lathes and turning centers
23242400,Machining centers
23242500,Metal milling machines
23242600,Specialized or miscellaneous metal cutting machines
23251500,Metal bending machines
23251600,Metal rolling machines
23251700,Forging machines
23251800,Metal forming dies and tooling
23261500,Rapid prototyping machines
23271400,Welding machinery
23271600,Soldering machines
23271700,Welding and soldering and brazing accessories
23271800,Welding and soldering and brazing supplies
23281500,Coating or plating machines
23281600,Heat treating machines
