WA Name,IWA Title,DWA Title,DWA ID,IWA ID,Element ID
Getting Information,Study details of artistic productions.,Review art or design materials.,4.A.1.a.1.I01.D01,4.A.1.a.1.I01,4.A.1.a.1
Getting Information,Study details of artistic productions.,Study details of musical compositions.,4.A.1.a.1.I01.D02,4.A.1.a.1.I01,4.A.1.a.1
Getting Information,Study details of artistic productions.,Review production information to determine costume or makeup requirements.,4.A.1.a.1.I01.D03,4.A.1.a.1.I01,4.A.1.a.1
Getting Information,Study details of artistic productions.,Study scripts to determine project requirements.,4.A.1.a.1.I01.D04,4.A.1.a.1.I01,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Read materials to determine needed actions.,4.A.1.a.1.I02.D01,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Read maps to determine routes.,4.A.1.a.1.I02.D02,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Review customer information.,4.A.1.a.1.I02.D03,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Read work orders or other instructions to determine product specifications or materials requirements.,4.A.1.a.1.I02.D04,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Read technical information needed to perform maintenance or repairs.,4.A.1.a.1.I02.D05,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Study blueprints or other instructions to determine equipment setup requirements.,4.A.1.a.1.I02.D06,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Read documents to gather technical information.,4.A.1.a.1.I02.D07,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Review technical documents to plan work.,4.A.1.a.1.I02.D08,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Review blueprints or specifications to determine work requirements.,4.A.1.a.1.I02.D09,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Review work orders or schedules to determine operations or procedures.,4.A.1.a.1.I02.D10,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Review blueprints or other instructions to determine operational methods or sequences.,4.A.1.a.1.I02.D11,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Evaluate reports or designs to determine work needs.,4.A.1.a.1.I02.D12,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Read work orders or descriptions of problems to determine repairs or modifications needed.,4.A.1.a.1.I02.D13,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",4.A.1.a.1.I02.D14,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Review details of technical drawings or specifications.,4.A.1.a.1.I02.D15,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Read documents or materials to inform work processes.,Read work orders to determine material or setup requirements.,4.A.1.a.1.I02.D16,4.A.1.a.1.I02,4.A.1.a.1
Getting Information,Investigate criminal or legal matters.,Collect evidence for legal proceedings.,4.A.1.a.1.I03.D01,4.A.1.a.1.I03,4.A.1.a.1
Getting Information,Investigate criminal or legal matters.,Examine crime scenes to obtain evidence.,4.A.1.a.1.I03.D02,4.A.1.a.1.I03,4.A.1.a.1
Getting Information,Investigate criminal or legal matters.,Investigate crimes committed within organizations.,4.A.1.a.1.I03.D03,4.A.1.a.1.I03,4.A.1.a.1
Getting Information,Investigate criminal or legal matters.,Investigate legal issues.,4.A.1.a.1.I03.D04,4.A.1.a.1.I03,4.A.1.a.1
Getting Information,Investigate criminal or legal matters.,Examine records or other types of data to investigate criminal activities.,4.A.1.a.1.I03.D05,4.A.1.a.1.I03,4.A.1.a.1
Getting Information,Investigate criminal or legal matters.,Conduct hearings to investigate legal issues.,4.A.1.a.1.I03.D06,4.A.1.a.1.I03,4.A.1.a.1
Getting Information,Investigate criminal or legal matters.,Investigate illegal or suspicious activities.,4.A.1.a.1.I03.D07,4.A.1.a.1.I03,4.A.1.a.1
Getting Information,Gather information from physical or electronic sources.,Obtain property information.,4.A.1.a.1.I04.D01,4.A.1.a.1.I04,4.A.1.a.1
Getting Information,Gather information from physical or electronic sources.,Use databases to locate investigation details or other information.,4.A.1.a.1.I04.D02,4.A.1.a.1.I04,4.A.1.a.1
Getting Information,Gather information from physical or electronic sources.,Search information sources to find specific data.,4.A.1.a.1.I04.D03,4.A.1.a.1.I04,4.A.1.a.1
Getting Information,Gather information from physical or electronic sources.,Gather financial records.,4.A.1.a.1.I04.D04,4.A.1.a.1.I04,4.A.1.a.1
Getting Information,Gather information from physical or electronic sources.,Retrieve information from electronic sources.,4.A.1.a.1.I04.D05,4.A.1.a.1.I04,4.A.1.a.1
Getting Information,Gather information from physical or electronic sources.,Gather information in order to provide services to clients.,4.A.1.a.1.I04.D06,4.A.1.a.1.I04,4.A.1.a.1
Getting Information,Gather information from physical or electronic sources.,"Search files, databases or reference materials to obtain needed information.",4.A.1.a.1.I04.D07,4.A.1.a.1.I04,4.A.1.a.1
Getting Information,Gather information from physical or electronic sources.,Collect archival data.,4.A.1.a.1.I04.D08,4.A.1.a.1.I04,4.A.1.a.1
Getting Information,Consult legal materials or public records.,Evaluate information related to legal matters in public or personal records.,4.A.1.a.1.I05.D01,4.A.1.a.1.I05,4.A.1.a.1
Getting Information,Consult legal materials or public records.,Research relevant legal materials to aid decision making.,4.A.1.a.1.I05.D02,4.A.1.a.1.I05,4.A.1.a.1
Getting Information,Gather data about operational or development activities.,Gather organizational performance information.,4.A.1.a.1.I06.D01,4.A.1.a.1.I06,4.A.1.a.1
Getting Information,Gather data about operational or development activities.,Gather information about work conditions or locations.,4.A.1.a.1.I06.D02,4.A.1.a.1.I06,4.A.1.a.1
Getting Information,Gather data about operational or development activities.,Gather physical survey data.,4.A.1.a.1.I06.D03,4.A.1.a.1.I06,4.A.1.a.1
Getting Information,Gather data about operational or development activities.,Collect data about project sites.,4.A.1.a.1.I06.D04,4.A.1.a.1.I06,4.A.1.a.1
Getting Information,Obtain information about goods or services.,Obtain information about goods or services.,4.A.1.a.1.I07.D01,4.A.1.a.1.I07,4.A.1.a.1
Getting Information,Research issues related to earth sciences.,Research hydrologic features or processes.,4.A.1.a.1.I08.D01,4.A.1.a.1.I08,4.A.1.a.1
