series_id	dataseries_code	srd_code	industryb_code	irc_code	dataelement_code	footnote_codes	begin_year	begin_period	end_year	end_period
MLSMS00NN0119003 	M	S00	N	N0119	003	1	1995	M04	2013	M05
MLSMS00NN0119005 	M	S00	N	N0119	005	1	1995	M04	2013	M05
MLSMS00NN0120003 	M	S00	N	N0120	003	1	1995	M04	2013	M05
MLSMS00NN0120005 	M	S00	N	N0120	005	1	1995	M04	2013	M05
MLSMS00NN0121003 	M	S00	N	N0121	003	1	1995	M04	2013	M05
MLSMS00NN0121005 	M	S00	N	N0121	005	1	1995	M04	2013	M05
MLUMD10NN0001003 	M	D10	N	N0001	003		1995	M04	2013	M05
MLUMD10NN0001005 	M	D10	N	N0001	005		1995	M04	2013	M05
MLUMD10NN0048003 	M	D10	N	N0048	003		1995	M04	2013	M05
MLUMD10NN0048005 	M	D10	N	N0048	005		1995	M04	2013	M05
MLUMD10SS0001003 	M	D10	S	S0001	003		1995	M04	2001	M13
MLUMD10SS0001005 	M	D10	S	S0001	005		1995	M04	2001	M13
MLUMD11NN0001003 	M	D11	N	N0001	003		1995	M04	2013	M05
MLUMD11NN0001005 	M	D11	N	N0001	005		1995	M04	2013	M05
MLUMD11NN0048003 	M	D11	N	N0048	003		1995	M04	2013	M05
MLUMD11NN0048005 	M	D11	N	N0048	005		1995	M04	2013	M05
MLUMD11SS0001003 	M	D11	S	S0001	003		1995	M04	2001	M13
MLUMD11SS0001005 	M	D11	S	S0001	005		1995	M04	2001	M13
MLUMD12NN0001003 	M	D12	N	N0001	003		1995	M04	2013	M05
MLUMD12NN0001005 	M	D12	N	N0001	005		1995	M04	2013	M05
MLUMD12NN0048003 	M	D12	N	N0048	003		1995	M04	2013	M05
MLUMD12NN0048005 	M	D12	N	N0048	005		1995	M04	2013	M05
MLUMD12SS0001003 	M	D12	S	S0001	003		1995	M04	2001	M13
MLUMD12SS0001005 	M	D12	S	S0001	005		1995	M04	2001	M13
MLUMD20NN0001003 	M	D20	N	N0001	003		1995	M04	2013	M05
MLUMD20NN0001005 	M	D20	N	N0001	005		1995	M04	2013	M05
MLUMD20NN0048003 	M	D20	N	N0048	003		1995	M04	2013	M05
MLUMD20NN0048005 	M	D20	N	N0048	005		1995	M04	2013	M05
MLUMD20SS0001003 	M	D20	S	S0001	003		1995	M04	2001	M13
MLUMD20SS0001005 	M	D20	S	S0001	005		1995	M04	2001	M13
MLUMD23NN0001003 	M	D23	N	N0001	003		1995	M04	2013	M05
MLUMD23NN0001005 	M	D23	N	N0001	005		1995	M04	2013	M05
MLUMD23NN0048003 	M	D23	N	N0048	003		1995	M04	2013	M05
MLUMD23NN0048005 	M	D23	N	N0048	005		1995	M04	2013	M05
MLUMD23SS0001003 	M	D23	S	S0001	003		1995	M04	2001	M13
MLUMD23SS0001005 	M	D23	S	S0001	005		1995	M04	2001	M13
MLUMD24NN0001003 	M	D24	N	N0001	003		1995	M04	2013	M05
MLUMD24NN0001005 	M	D24	N	N0001	005		1995	M04	2013	M05
MLUMD24NN0048003 	M	D24	N	N0048	003		1995	M04	2013	M05
MLUMD24NN0048005 	M	D24	N	N0048	005		1995	M04	2013	M05
MLUMD24SS0001003 	M	D24	S	S0001	003		1995	M04	2001	M13
MLUMD24SS0001005 	M	D24	S	S0001	005		1995	M04	2001	M13
MLUMD25NN0001003 	M	D25	N	N0001	003		1995	M04	2013	M05
MLUMD25NN0001005 	M	D25	N	N0001	005		1995	M04	2013	M05
MLUMD25NN0048003 	M	D25	N	N0048	003		1995	M04	2013	M05
MLUMD25NN0048005 	M	D25	N	N0048	005		1995	M04	2013	M05
MLUMD25SS0001003 	M	D25	S	S0001	003		1995	M04	2001	M13
MLUMD25SS0001005 	M	D25	S	S0001	005		1995	M04	2001	M13
MLUMD30NN0001003 	M	D30	N	N0001	003		1995	M04	2013	M05
MLUMD30NN0001005 	M	D30	N	N0001	005		1995	M04	2013	M05
MLUMD30NN0048003 	M	D30	N	N0048	003		1995	M04	2013	M05
MLUMD30NN0048005 	M	D30	N	N0048	005		1995	M04	2013	M05
MLUMD30SS0001003 	M	D30	S	S0001	003		1995	M04	2001	M13
MLUMD30SS0001005 	M	D30	S	S0001	005		1995	M04	2001	M13
MLUMD36NN0001003 	M	D36	N	N0001	003		1995	M04	2013	M05
MLUMD36NN0001005 	M	D36	N	N0001	005		1995	M04	2013	M05
MLUMD36NN0048003 	M	D36	N	N0048	003		1995	M04	2013	M05
MLUMD36NN0048005 	M	D36	N	N0048	005		1995	M04	2013	M05
MLUMD36SS0001003 	M	D36	S	S0001	003		1995	M04	2001	M13
MLUMD36SS0001005 	M	D36	S	S0001	005		1995	M04	2001	M13
MLUMD37NN0001003 	M	D37	N	N0001	003		1995	M04	2013	M05
MLUMD37NN0001005 	M	D37	N	N0001	005		1995	M04	2013	M05
MLUMD37NN0048003 	M	D37	N	N0048	003		1995	M04	2013	M05
MLUMD37NN0048005 	M	D37	N	N0048	005		1995	M04	2013	M05
MLUMD37SS0001003 	M	D37	S	S0001	003		1995	M04	2001	M13
MLUMD37SS0001005 	M	D37	S	S0001	005		1995	M04	2001	M13
MLUMD40NN0001003 	M	D40	N	N0001	003		1995	M04	2013	M05
MLUMD40NN0001005 	M	D40	N	N0001	005		1995	M04	2013	M05
MLUMD40NN0048003 	M	D40	N	N0048	003		1995	M04	2013	M05
MLUMD40NN0048005 	M	D40	N	N0048	005		1995	M04	2013	M05
MLUMD40SS0001003 	M	D40	S	S0001	003		1995	M04	2001	M13
MLUMD40SS0001005 	M	D40	S	S0001	005		1995	M04	2001	M13
MLUMD48NN0001003 	M	D48	N	N0001	003		1995	M04	2013	M05
MLUMD48NN0001005 	M	D48	N	N0001	005		1995	M04	2013	M05
MLUMD48NN0048003 	M	D48	N	N0048	003		1995	M04	2013	M05
MLUMD48NN0048005 	M	D48	N	N0048	005		1995	M04	2013	M05
MLUMD48SS0001003 	M	D48	S	S0001	003		1995	M04	2001	M13
MLUMD48SS0001005 	M	D48	S	S0001	005		1995	M04	2001	M13
MLUMD49NN0001003 	M	D49	N	N0001	003		1995	M04	2013	M05
MLUMD49NN0001005 	M	D49	N	N0001	005		1995	M04	2013	M05
MLUMD49NN0048003 	M	D49	N	N0048	003		1995	M04	2013	M05
MLUMD49NN0048005 	M	D49	N	N0048	005		1995	M04	2013	M05
MLUMD49SS0001003 	M	D49	S	S0001	003		1995	M04	2001	M13
MLUMD49SS0001005 	M	D49	S	S0001	005		1995	M04	2001	M13
MLUMS00NN0001003 	M	S00	N	N0001	003	1	1995	M04	2013	M05
MLUMS00NN0001005 	M	S00	N	N0001	005	1	1995	M04	2013	M05
MLUMS00NN0002003 	M	S00	N	N0002	003	1	1995	M04	2013	M05
MLUMS00NN0002005 	M	S00	N	N0002	005	1	1995	M04	2013	M05
MLUMS00NN0003003 	M	S00	N	N0003	003	1	1995	M04	2013	M05
MLUMS00NN0003005 	M	S00	N	N0003	005	1	1995	M04	2013	M05
MLUMS00NN0004003 	M	S00	N	N0004	003	1	1995	M04	2013	M05
MLUMS00NN0004005 	M	S00	N	N0004	005	1	1995	M04	2013	M05
MLUMS00NN0005003 	M	S00	N	N0005	003	1	1995	M04	2013	M05
MLUMS00NN0005005 	M	S00	N	N0005	005	1	1995	M04	2013	M05
MLUMS00NN0006003 	M	S00	N	N0006	003	1	1995	M04	2013	M05
MLUMS00NN0006005 	M	S00	N	N0006	005	1	1995	M04	2013	M05
MLUMS00NN0007003 	M	S00	N	N0007	003	1	1995	M04	2013	M05
MLUMS00NN0007005 	M	S00	N	N0007	005	1	1995	M04	2013	M05
MLUMS00NN0008003 	M	S00	N	N0008	003	1	1995	M04	2013	M05
MLUMS00NN0008005 	M	S00	N	N0008	005	1	1995	M04	2013	M05
MLUMS00NN0009003 	M	S00	N	N0009	003	1	1995	M04	2013	M05
MLUMS00NN0009005 	M	S00	N	N0009	005	1	1995	M04	2013	M05
MLUMS00NN0010003 	M	S00	N	N0010	003	1	1995	M04	2013	M05
MLUMS00NN0010005 	M	S00	N	N0010	005	1	1995	M04	2013	M05
MLUMS00NN0011003 	M	S00	N	N0011	003	1,8	1995	M04	2013	M05
MLUMS00NN0011005 	M	S00	N	N0011	005	1,8	1995	M04	2013	M05
MLUMS00NN0012003 	M	S00	N	N0012	003	1,8	1995	M04	2013	M05
MLUMS00NN0012005 	M	S00	N	N0012	005	1,8	1995	M04	2013	M05
MLUMS00NN0013003 	M	S00	N	N0013	003	1	1995	M04	2013	M05
MLUMS00NN0013005 	M	S00	N	N0013	005	1	1995	M04	2013	M05
MLUMS00NN0014003 	M	S00	N	N0014	003	1	1995	M04	2013	M05
MLUMS00NN0014005 	M	S00	N	N0014	005	1	1995	M04	2013	M05
MLUMS00NN0015003 	M	S00	N	N0015	003	1	1995	M04	2013	M05
MLUMS00NN0015005 	M	S00	N	N0015	005	1	1995	M04	2013	M05
MLUMS00NN0016003 	M	S00	N	N0016	003	1	1995	M04	2013	M05
MLUMS00NN0016005 	M	S00	N	N0016	005	1	1995	M04	2013	M05
MLUMS00NN0017003 	M	S00	N	N0017	003	1	1995	M04	2013	M05
MLUMS00NN0017005 	M	S00	N	N0017	005	1	1995	M04	2013	M05
MLUMS00NN0018003 	M	S00	N	N0018	003	1	1995	M04	2013	M05
MLUMS00NN0018005 	M	S00	N	N0018	005	1	1995	M04	2013	M05
MLUMS00NN0019003 	M	S00	N	N0019	003	1,8	1995	M04	2013	M05
MLUMS00NN0019005 	M	S00	N	N0019	005	1,8	1995	M04	2013	M05
MLUMS00NN0020003 	M	S00	N	N0020	003	1	1995	M04	2013	M05
MLUMS00NN0020005 	M	S00	N	N0020	005	1	1995	M04	2013	M05
MLUMS00NN0021003 	M	S00	N	N0021	003	1	1995	M04	2013	M05
MLUMS00NN0021005 	M	S00	N	N0021	005	1	1995	M04	2013	M05
MLUMS00NN0022003 	M	S00	N	N0022	003	1	1995	M04	2013	M05
MLUMS00NN0022005 	M	S00	N	N0022	005	1	1995	M04	2013	M05
MLUMS00NN0023003 	M	S00	N	N0023	003	1,8	1995	M04	2013	M05
MLUMS00NN0023005 	M	S00	N	N0023	005	1,8	1995	M04	2013	M05
MLUMS00NN0024003 	M	S00	N	N0024	003	1	1995	M04	2013	M05
MLUMS00NN0024005 	M	S00	N	N0024	005	1	1995	M04	2013	M05
MLUMS00NN0025003 	M	S00	N	N0025	003	1	1995	M04	2013	M05
MLUMS00NN0025005 	M	S00	N	N0025	005	1	1995	M04	2013	M05
MLUMS00NN0026003 	M	S00	N	N0026	003	1,8	1995	M04	2013	M05
MLUMS00NN0026005 	M	S00	N	N0026	005	1,8	1995	M04	2013	M05
MLUMS00NN0027003 	M	S00	N	N0027	003	1,8	1995	M04	2013	M05
MLUMS00NN0027005 	M	S00	N	N0027	005	1,8	1995	M04	2013	M05
MLUMS00NN0028003 	M	S00	N	N0028	003	1,8	1995	M04	2013	M05
MLUMS00NN0028005 	M	S00	N	N0028	005	1,8	1995	M04	2013	M05
MLUMS00NN0029003 	M	S00	N	N0029	003	1	1995	M04	2013	M05
MLUMS00NN0029005 	M	S00	N	N0029	005	1	1995	M04	2013	M05
MLUMS00NN0030003 	M	S00	N	N0030	003	1	1995	M04	2013	M05
MLUMS00NN0030005 	M	S00	N	N0030	005	1	1995	M04	2013	M05
MLUMS00NN0031003 	M	S00	N	N0031	003	1	1995	M04	2013	M05
MLUMS00NN0031005 	M	S00	N	N0031	005	1	1995	M04	2013	M05
MLUMS00NN0032003 	M	S00	N	N0032	003	1	1995	M04	2013	M05
MLUMS00NN0032005 	M	S00	N	N0032	005	1	1995	M04	2013	M05
MLUMS00NN0033003 	M	S00	N	N0033	003	1,8	1995	M04	2013	M05
MLUMS00NN0033005 	M	S00	N	N0033	005	1,8	1995	M04	2013	M05
MLUMS00NN0034003 	M	S00	N	N0034	003	1,8	1995	M04	2013	M05
MLUMS00NN0034005 	M	S00	N	N0034	005	1,8	1995	M04	2013	M05
MLUMS00NN0035003 	M	S00	N	N0035	003	1,8	1995	M04	2013	M05
MLUMS00NN0035005 	M	S00	N	N0035	005	1,8	1995	M04	2013	M05
MLUMS00NN0036003 	M	S00	N	N0036	003	1	1995	M04	2013	M05
MLUMS00NN0036005 	M	S00	N	N0036	005	1	1995	M04	2013	M05
MLUMS00NN0037003 	M	S00	N	N0037	003	1,8	1995	M04	2013	M05
MLUMS00NN0037005 	M	S00	N	N0037	005	1,8	1995	M04	2013	M05
MLUMS00NN0038003 	M	S00	N	N0038	003	1	1995	M04	2013	M05
MLUMS00NN0038005 	M	S00	N	N0038	005	1	1995	M04	2013	M05
MLUMS00NN0039003 	M	S00	N	N0039	003	1	1995	M04	2013	M05
MLUMS00NN0039005 	M	S00	N	N0039	005	1	1995	M04	2013	M05
MLUMS00NN0040003 	M	S00	N	N0040	003	1	1995	M04	2013	M05
MLUMS00NN0040005 	M	S00	N	N0040	005	1	1995	M04	2013	M05
MLUMS00NN0041003 	M	S00	N	N0041	003	1	1995	M04	2013	M05
MLUMS00NN0041005 	M	S00	N	N0041	005	1	1995	M04	2013	M05
MLUMS00NN0042003 	M	S00	N	N0042	003	1	1995	M04	2013	M05
MLUMS00NN0042005 	M	S00	N	N0042	005	1	1995	M04	2013	M05
MLUMS00NN0043003 	M	S00	N	N0043	003	1	1995	M04	2013	M05
MLUMS00NN0043005 	M	S00	N	N0043	005	1	1995	M04	2013	M05
MLUMS00NN0044003 	M	S00	N	N0044	003	1	1995	M04	2013	M05
MLUMS00NN0044005 	M	S00	N	N0044	005	1	1995	M04	2013	M05
MLUMS00NN0045003 	M	S00	N	N0045	003	1	1995	M04	2013	M05
MLUMS00NN0045005 	M	S00	N	N0045	005	1	1995	M04	2013	M05
MLUMS00NN0046003 	M	S00	N	N0046	003	1	1995	M04	2013	M05
MLUMS00NN0046005 	M	S00	N	N0046	005	1	1995	M04	2013	M05
MLUMS00NN0047003 	M	S00	N	N0047	003	1	1995	M04	2013	M05
MLUMS00NN0047005 	M	S00	N	N0047	005	1	1995	M04	2013	M05
MLUMS00NN0048003 	M	S00	N	N0048	003	1	1995	M04	2013	M05
MLUMS00NN0048005 	M	S00	N	N0048	005	1	1995	M04	2013	M05
MLUMS00NN0049003 	M	S00	N	N0049	003	1,8	1995	M04	2013	M05
MLUMS00NN0049005 	M	S00	N	N0049	005	1,8	1995	M04	2013	M05
MLUMS00NN0050003 	M	S00	N	N0050	003	1,8	1995	M04	2013	M05
MLUMS00NN0050005 	M	S00	N	N0050	005	1,8	1995	M04	2013	M05
