Position:,Industry:,Length (Years):
Administration,"Air, Aerospace & Defense",0 - 2
Administration,"Air, Aerospace & Defense",2 - 3
Administration,"Air, Aerospace & Defense",3 - 5
Administration,"Air, Aerospace & Defense",5 - 10
Administration,"Air, Aerospace & Defense",10+
Administration,Automotive,0 - 2
Administration,Automotive,2 - 3
Administration,Automotive,3 - 5
Administration,Automotive,5 - 10
Administration,Automotive,10+
Administration,Building Products,0 - 2
Administration,Building Products,2 - 3
Administration,Building Products,3 - 5
Administration,Building Products,5 - 10
Administration,Building Products,10+
Administration,Capital Markets,0 - 2
Administration,Capital Markets,2 - 3
Administration,Capital Markets,3 - 5
Administration,Capital Markets,5 - 10
Administration,Capital Markets,10+
Administration,Commercial Services & Supplies,0 - 2
Administration,Commercial Services & Supplies,2 - 3
Administration,Commercial Services & Supplies,3 - 5
Administration,Commercial Services & Supplies,5 - 10
Administration,Commercial Services & Supplies,10+
Administration,Communications Equipment,0 - 2
Administration,Communications Equipment,2 - 3
Administration,Communications Equipment,3 - 5
Administration,Communications Equipment,5 - 10
Administration,Communications Equipment,10+
Administration,Consumer Services,0 - 2
Administration,Consumer Services,2 - 3
Administration,Consumer Services,3 - 5
Administration,Consumer Services,5 - 10
Administration,Consumer Services,10+
Administration,Finance,0 - 2
Administration,Finance,2 - 3
Administration,Finance,3 - 5
Administration,Finance,5 - 10
Administration,Finance,10+
Administration,Electronics,0 - 2
Administration,Electronics,2 - 3
Administration,Electronics,3 - 5
Administration,Electronics,5 - 10
Administration,Electronics,10+
Administration,Energy,0 - 2
Administration,Energy,2 - 3
Administration,Energy,3 - 5
Administration,Energy,5 - 10
Administration,Energy,10+
Administration,Food & Beverages,0 - 2
Administration,Food & Beverages,2 - 3
Administration,Food & Beverages,3 - 5
Administration,Food & Beverages,5 - 10
Administration,Food & Beverages,10+
Administration,Health Care,0 - 2
Administration,Health Care,2 - 3
Administration,Health Care,3 - 5
Administration,Health Care,5 - 10
Administration,Health Care,10+
Administration,Hospitality,0 - 2
Administration,Hospitality,2 - 3
Administration,Hospitality,3 - 5
Administration,Hospitality,5 - 10
Administration,Hospitality,10+
Administration,Information Technology,0 - 2
Administration,Information Technology,2 - 3
Administration,Information Technology,3 - 5
Administration,Information Technology,5 - 10
Administration,Information Technology,10+
Administration,Industrial Conglomerates,0 - 2
Administration,Industrial Conglomerates,2 - 3
Administration,Industrial Conglomerates,3 - 5
Administration,Industrial Conglomerates,5 - 10
Administration,Industrial Conglomerates,10+
Administration,Leisure Products,0 - 2
Administration,Leisure Products,2 - 3
Administration,Leisure Products,3 - 5
Administration,Leisure Products,5 - 10
Administration,Leisure Products,10+
Administration,Life Sciences,0 - 2
Administration,Life Sciences,2 - 3
Administration,Life Sciences,3 - 5
Administration,Life Sciences,5 - 10
Administration,Life Sciences,10+
Administration,Machinery,0 - 2
Administration,Machinery,2 - 3
Administration,Machinery,3 - 5
Administration,Machinery,5 - 10
Administration,Machinery,10+
Administration,Media,0 - 2
Administration,Media,2 - 3
Administration,Media,3 - 5
Administration,Media,5 - 10
Administration,Media,10+
Administration,Personal Products,0 - 2
Administration,Personal Products,2 - 3
Administration,Personal Products,3 - 5
Administration,Personal Products,5 - 10
